idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49
0,87.2,92.4,94.3,94.2,95.13333333333334,95.03333333333333,96.23333333333333,96.7,94.1,96.63333333333334,96.96666666666667,96.86666666666666,96.96666666666667,97.33333333333333,92.66666666666667,95.7,96.56666666666666,96.66666666666667,97.0,96.66666666666667,96.9,96.43333333333334,96.46666666666667,96.83333333333333,96.96666666666667,96.46666666666667,97.06666666666666,96.43333333333334,97.13333333333334,97.3,96.23333333333333,96.03333333333333,97.46666666666667,97.4,97.36666666666666,97.23333333333333,97.13333333333334,97.53333333333333,97.73333333333333,97.46666666666667,97.4,97.36666666666666,97.63333333333334,97.33333333333333,97.8,96.86666666666666,97.23333333333333,97.9,97.63333333333334,97.76666666666667
1,82.86666666666666,88.53333333333333,90.3,91.23333333333333,92.13333333333334,92.03333333333333,91.86666666666666,93.53333333333333,93.33333333333333,94.76666666666667,93.0,92.3,94.23333333333333,92.63333333333334,95.0,94.66666666666667,94.93333333333334,93.73333333333333,92.76666666666667,94.6,94.6,93.96666666666667,93.6,95.36666666666666,95.2,95.16666666666667,95.06666666666666,94.96666666666667,95.16666666666667,92.6,95.13333333333334,95.23333333333333,95.7,94.63333333333334,95.9,94.5,94.9,95.2,94.93333333333334,96.2,94.93333333333334,96.0,95.23333333333333,95.73333333333333,95.86666666666666,95.63333333333334,95.46666666666667,95.76666666666667,95.6,95.56666666666666
2,90.7,93.46666666666667,93.8,95.0,93.5,93.96666666666667,96.1,96.6,96.4,95.9,95.6,96.9,97.13333333333334,97.16666666666667,96.73333333333333,96.93333333333334,97.3,97.73333333333333,96.96666666666667,97.73333333333333,97.03333333333333,97.4,97.73333333333333,97.33333333333333,97.63333333333334,97.63333333333334,97.9,97.83333333333333,97.9,97.86666666666666,96.43333333333334,97.36666666666666,97.1,95.53333333333333,98.0,96.86666666666666,97.53333333333333,97.5,97.73333333333333,97.86666666666666,97.6,97.83333333333333,97.76666666666667,97.53333333333333,97.6,97.76666666666667,97.76666666666667,97.96666666666667,97.3,97.56666666666666
3,84.93333333333334,89.63333333333334,92.36666666666666,92.96666666666667,95.4,94.33333333333333,95.03333333333333,95.43333333333334,96.46666666666667,96.8,96.06666666666666,96.43333333333334,96.1,96.96666666666667,96.6,96.8,97.23333333333333,96.56666666666666,96.86666666666666,96.8,96.0,95.73333333333333,96.93333333333334,97.0,96.76666666666667,97.2,96.66666666666667,97.06666666666666,97.2,97.36666666666666,97.4,97.4,97.1,96.9,97.2,96.96666666666667,97.06666666666666,97.33333333333333,97.36666666666666,97.36666666666666,97.13333333333334,97.03333333333333,96.73333333333333,97.1,97.23333333333333,97.33333333333333,97.23333333333333,97.23333333333333,97.0,97.2
4,91.1,93.16666666666667,94.73333333333333,94.53333333333333,95.86666666666666,96.66666666666667,95.86666666666666,97.03333333333333,96.56666666666666,96.06666666666666,96.93333333333334,96.86666666666666,96.33333333333333,95.46666666666667,96.83333333333333,96.2,96.96666666666667,96.63333333333334,97.1,97.06666666666666,97.23333333333333,97.06666666666666,96.93333333333334,97.3,97.03333333333333,96.73333333333333,97.36666666666666,97.13333333333334,97.13333333333334,97.36666666666666,96.73333333333333,97.3,97.23333333333333,97.0,96.1,97.33333333333333,97.4,97.23333333333333,96.53333333333333,96.83333333333333,97.1,97.13333333333334,97.3,97.13333333333334,97.4,97.33333333333333,96.86666666666666,97.0,97.13333333333334,96.26666666666667
5,86.4,88.86666666666666,90.2,90.83333333333333,91.4,92.03333333333333,93.23333333333333,94.1,93.26666666666667,95.16666666666667,94.43333333333334,95.63333333333334,95.5,95.46666666666667,93.23333333333333,93.2,94.73333333333333,95.26666666666667,95.8,96.1,96.0,96.26666666666667,95.93333333333334,96.7,96.8,96.96666666666667,97.3,96.66666666666667,96.53333333333333,96.26666666666667,96.96666666666667,96.73333333333333,96.3,96.63333333333334,97.23333333333333,96.8,96.8,96.4,95.9,95.6,97.03333333333333,96.5,96.3,96.93333333333334,96.93333333333334,97.1,97.06666666666666,96.96666666666667,97.1,97.26666666666667
6,81.93333333333334,87.13333333333334,89.9,90.3,91.36666666666666,91.66666666666667,92.2,92.7,93.43333333333334,92.86666666666666,93.4,92.26666666666667,93.83333333333333,93.93333333333334,93.53333333333333,93.86666666666666,93.16666666666667,92.3,93.56666666666666,94.2,93.1,92.6,93.83333333333333,93.4,93.53333333333333,93.2,93.7,93.0,93.83333333333333,92.8,93.6,93.43333333333334,94.6,93.8,94.2,93.5,93.93333333333334,93.1,93.56666666666666,93.3,93.93333333333334,93.43333333333334,94.06666666666666,94.06666666666666,92.76666666666667,93.6,93.96666666666667,93.83333333333333,94.06666666666666,94.23333333333333
7,88.76666666666667,90.4,92.86666666666666,91.26666666666667,93.73333333333333,93.23333333333333,93.13333333333334,94.23333333333333,94.83333333333333,94.56666666666666,94.93333333333334,94.76666666666667,94.93333333333334,95.36666666666666,95.63333333333334,95.1,94.96666666666667,95.03333333333333,94.53333333333333,95.23333333333333,95.03333333333333,95.46666666666667,95.73333333333333,95.33333333333333,95.36666666666666,95.63333333333334,95.56666666666666,95.2,94.66666666666667,95.26666666666667,95.53333333333333,95.6,95.53333333333333,95.83333333333333,95.26666666666667,95.76666666666667,95.03333333333333,95.56666666666666,96.13333333333334,95.2,95.33333333333333,95.2,95.2,95.63333333333334,95.66666666666667,95.93333333333334,91.76666666666667,91.53333333333333,94.76666666666667,94.73333333333333
8,86.8,92.1,93.76666666666667,92.8,94.8,95.16666666666667,95.66666666666667,96.56666666666666,94.63333333333334,95.46666666666667,94.56666666666666,95.9,95.6,96.63333333333334,96.36666666666666,92.9,95.46666666666667,95.13333333333334,96.5,95.93333333333334,96.83333333333333,96.6,96.8,95.5,96.83333333333333,96.46666666666667,96.53333333333333,96.8,96.16666666666667,96.7,96.56666666666666,96.43333333333334,96.06666666666666,96.43333333333334,96.53333333333333,96.73333333333333,96.43333333333334,96.43333333333334,96.36666666666666,96.83333333333333,96.8,96.56666666666666,95.76666666666667,96.13333333333334,96.7,96.46666666666667,96.5,96.5,96.56666666666666,95.86666666666666
9,86.72727272727273,90.45454545454545,93.45454545454545,92.42424242424242,94.24242424242425,94.66666666666667,93.9090909090909,93.03030303030303,94.27272727272727,95.0909090909091,95.21212121212122,95.42424242424242,95.3030303030303,95.36363636363636,94.45454545454545,96.0,94.87878787878788,96.24242424242425,95.78787878787878,96.3030303030303,96.3030303030303,96.21212121212122,96.54545454545455,96.21212121212122,95.57575757575758,96.21212121212122,96.63636363636364,95.72727272727273,96.75757575757575,96.39393939393939,96.54545454545455,96.12121212121212,96.24242424242425,95.93939393939394,94.72727272727273,96.60606060606061,96.42424242424242,96.63636363636364,96.66666666666667,96.36363636363636,96.75757575757575,96.78787878787878,96.72727272727273,96.96969696969697,96.51515151515152,96.6969696969697,96.63636363636364,96.63636363636364,96.0,96.63636363636364
