dataset,round,client,lambda_before,lambda_after,action,valid,invalid_reason,raw_alignment,raw_pull_ratio,effective_pull_ratio,utility,negative_streak,warmup_pull_ref,cooldown_until,decay_count,ce_loss,mse_loss,weighted_mse_loss,ce_grad_norm,mse_grad_norm,spf_gamma,spf_rank
OfficeHome,0,0,0.3,0.3,warmup,1,,-2.385032535411433e-08,5.198512171829438e-06,1.5595536515488314e-06,-7.155097606234298e-09,0,,-1,0,2.712890625,0.0002354550815653056,7.063652446959168e-05,65.22323608398438,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,1,0.3,0.3,warmup,1,,-1.728900548182303e-08,8.506501960157528e-06,2.5519505880472583e-06,-5.186701644546909e-09,0,,-1,0,2.232421875,0.0002354550815653056,7.063652446959168e-05,39.85936737060547,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,2,0.3,0.3,warmup,1,,-5.872088668408989e-09,1.2120789509890166e-05,3.6362368529670493e-06,-1.7616266005226965e-09,0,,-1,0,2.798828125,0.0002354550815653056,7.063652446959168e-05,27.973737716674805,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,3,0.3,0.3,warmup,1,,1.3821123922143954e-07,1.2246993804061032e-05,3.6740981412183092e-06,4.146337176643186e-08,0,,-1,0,2.783203125,0.0002354550815653056,7.063652446959168e-05,27.685470581054688,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,4,0.3,0.3,warmup,1,,-2.8160263566024314e-08,6.101275306103852e-06,1.8303825918311555e-06,-8.448079069807293e-09,0,,-1,0,1.84375,0.0002354550815653056,7.063652446959168e-05,55.572608947753906,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,5,0.3,0.3,warmup,1,,-2.8163352708870626e-08,6.368195232474927e-06,1.910458569742478e-06,-8.449005812661187e-09,0,,-1,0,1.7451171875,0.0002354550815653056,7.063652446959168e-05,53.243309020996094,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,6,0.3,0.3,warmup,1,,-7.595897256757303e-09,6.772757081545435e-06,2.0318271244636306e-06,-2.2787691770271907e-09,0,,-1,0,2.3125,0.0002354550815653056,7.063652446959168e-05,50.062889099121094,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,0,7,0.3,0.3,warmup,1,,4.7963075293586726e-08,7.051096144190654e-06,2.115328843257196e-06,1.4388922588076017e-08,0,,-1,0,1.681640625,0.0002354550815653056,7.063652446959168e-05,48.08667755126953,0.00033906378666870296,0.01000213623046875,8.0
OfficeHome,5,0,0.3,0.3,warmup,1,,-1.0989941534897808e-06,7.397788734830131e-05,2.2193366204490393e-05,-3.2969824604693424e-07,0,,-1,0,0.8076171875,0.0002314788434887305,6.944365304661915e-05,4.545135498046875,0.00033623952185735106,0.01000213623046875,8.0
OfficeHome,5,1,0.3,0.3,warmup,1,,-4.283911353146198e-07,6.975401988767471e-05,2.0926205966302413e-05,-1.2851734059438592e-07,0,,-1,0,0.619140625,0.00023582532594446093,7.074759778333827e-05,4.8650054931640625,0.0003393536899238825,0.01000213623046875,8.0
