idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24
0,60.49382716049383,75.30864197530865,81.48148148148148,83.95061728395062,86.41975308641975,86.41975308641975,86.41975308641975,83.95061728395062,83.95061728395062,81.48148148148148,80.24691358024691,79.01234567901234,83.95061728395062,80.24691358024691,81.48148148148148,77.77777777777777,83.95061728395062,81.48148148148148,82.71604938271605,82.71604938271605,85.18518518518519,82.71604938271605,82.71604938271605,82.71604938271605,81.48148148148148
1,64.51612903225806,70.96774193548387,70.96774193548387,74.19354838709677,74.19354838709677,72.04301075268818,76.34408602150538,75.26881720430107,70.96774193548387,75.26881720430107,72.04301075268818,74.19354838709677,76.34408602150538,74.19354838709677,74.19354838709677,72.04301075268818,70.96774193548387,72.04301075268818,75.26881720430107,74.19354838709677,72.04301075268818,73.11827956989248,72.04301075268818,72.04301075268818,72.04301075268818
2,79.16666666666667,80.83333333333333,76.66666666666667,79.16666666666667,79.16666666666667,80.83333333333333,79.16666666666667,78.33333333333333,80.83333333333333,83.33333333333333,81.66666666666667,78.33333333333333,77.5,80.83333333333333,78.33333333333333,80.83333333333333,78.33333333333333,80.0,76.66666666666667,80.0,81.66666666666667,80.0,78.33333333333333,76.66666666666667,77.5
3,70.47619047619048,73.33333333333333,75.23809523809524,74.28571428571429,77.14285714285714,78.0952380952381,74.28571428571429,76.19047619047619,79.04761904761905,77.14285714285714,75.23809523809524,77.14285714285714,74.28571428571429,73.33333333333333,75.23809523809524,77.14285714285714,78.0952380952381,78.0952380952381,79.04761904761905,73.33333333333333,77.14285714285714,76.19047619047619,76.19047619047619,77.14285714285714,76.19047619047619
4,70.10309278350516,75.25773195876289,75.25773195876289,75.25773195876289,76.28865979381443,74.22680412371135,75.25773195876289,75.25773195876289,76.28865979381443,77.31958762886597,76.28865979381443,74.22680412371135,79.38144329896907,75.25773195876289,76.28865979381443,73.19587628865979,74.22680412371135,75.25773195876289,76.28865979381443,72.16494845360825,74.22680412371135,76.28865979381443,76.28865979381443,77.31958762886597,78.35051546391753
5,66.34615384615384,70.1923076923077,71.15384615384616,70.1923076923077,71.15384615384616,71.15384615384616,72.11538461538461,74.03846153846153,76.92307692307692,75.96153846153847,75.96153846153847,74.03846153846153,75.0,76.92307692307692,75.0,73.07692307692308,76.92307692307692,75.0,77.88461538461539,75.96153846153847,77.88461538461539,75.0,76.92307692307692,76.92307692307692,77.88461538461539
6,65.0,72.0,65.0,76.0,73.0,71.0,78.0,77.0,75.0,76.0,76.0,76.0,74.0,75.0,78.0,73.0,75.0,72.0,74.0,74.0,73.0,72.0,75.0,71.0,73.0
7,75.96153846153847,76.92307692307692,75.0,75.0,75.96153846153847,75.0,78.84615384615384,77.88461538461539,78.84615384615384,76.92307692307692,77.88461538461539,77.88461538461539,78.84615384615384,79.8076923076923,78.84615384615384,80.76923076923077,80.76923076923077,77.88461538461539,78.84615384615384,76.92307692307692,77.88461538461539,78.84615384615384,80.76923076923077,77.88461538461539,79.8076923076923
8,60.60606060606061,67.67676767676768,67.67676767676768,68.68686868686869,69.6969696969697,73.73737373737374,72.72727272727273,76.76767676767676,71.71717171717172,71.71717171717172,72.72727272727273,72.72727272727273,73.73737373737374,73.73737373737374,71.71717171717172,72.72727272727273,67.67676767676768,72.72727272727273,70.70707070707071,73.73737373737374,73.73737373737374,72.72727272727273,72.72727272727273,71.71717171717172,70.70707070707071
9,72.16494845360825,71.1340206185567,73.19587628865979,76.28865979381443,73.19587628865979,73.19587628865979,72.16494845360825,73.19587628865979,70.10309278350516,75.25773195876289,72.16494845360825,74.22680412371135,69.0721649484536,73.19587628865979,75.25773195876289,73.19587628865979,77.31958762886597,73.19587628865979,75.25773195876289,74.22680412371135,76.28865979381443,76.28865979381443,72.16494845360825,73.19587628865979,76.28865979381443
