dataset,round,selected_client_count,valid_client_count,svd_rank,effective_dimension,alpha_round,alpha_edge,dynamic_margin,raw_pairwise_cos_mean,raw_pairwise_cos_std,significant_edge_count,consensus_detected,core_size,core_coverage,core_ids,core_score,n_eff,active_alpha_ratio,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
DescribableTextures,0,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.08285301923751831,0.24977287650108337,10,1,3,0.3,"[3, 4, 7]",0.0771633267402649,2.8393571089126604,0.30000001192092896,0.012741826474666595,0.0011292120907455683,11.283820152282715,
DescribableTextures,1,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0365501344203949,0.11502411961555481,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000805134535767138,0.0,no_significant_core
DescribableTextures,2,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.024224160239100456,0.13171543180942535,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006935714627616107,0.0,no_significant_core
DescribableTextures,3,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.07511800527572632,0.12335377931594849,3,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005191135569475591,0.0,no_significant_core
DescribableTextures,4,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.004655538126826286,0.12768246233463287,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004230417252983898,0.0,no_significant_core
DescribableTextures,5,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.03393150493502617,0.11824199557304382,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0003421844739932567,0.0,no_significant_core
DescribableTextures,6,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.027432911098003387,0.12185817211866379,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00024603193742223084,0.0,no_significant_core
DescribableTextures,7,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.01328225340694189,0.10751814395189285,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004036726022604853,0.0,no_significant_core
DescribableTextures,8,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.015542308799922466,0.13072910904884338,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0003210511349607259,0.0,no_significant_core
DescribableTextures,9,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.0014011224266141653,0.13703308999538422,2,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0002195017150370404,0.0,no_significant_core
DescribableTextures,10,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.01040639914572239,0.106645867228508,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0002600660955067724,0.0,no_significant_core
DescribableTextures,11,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0017887913854792714,0.09818913787603378,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00017792542348615825,0.0,no_significant_core
DescribableTextures,12,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.0012579190079122782,0.11370044946670532,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00013552462041843683,0.0,no_significant_core
DescribableTextures,13,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.02346966043114662,0.12769383192062378,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00012830192281398922,0.0,no_significant_core
DescribableTextures,14,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.018424496054649353,0.10234376043081284,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004847858508583158,0.0,no_significant_core
DescribableTextures,15,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.01810331456363201,0.12220893800258636,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0002304957015439868,0.0,no_significant_core
DescribableTextures,16,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0030779018998146057,0.1123858317732811,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00011676982103381306,0.0,no_significant_core
