dataset,round,selected_client_count,valid_client_count,svd_rank,kappa,n_eff,mean_pairwise_positive_similarity,direction_concentration,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
DescribableTextures,0,10,10,8,0.07428326457738876,8.668135643005371,0.15028715133666992,0.4942755401134491,0.005353528540581465,0.0011292120907455683,4.740941524505615,
DescribableTextures,1,10,10,8,0.027407187968492508,8.538005828857422,0.06576400995254517,0.41675055027008057,0.003145991824567318,0.000805134535767138,3.9074113368988037,
DescribableTextures,2,10,10,8,0.028661124408245087,7.576344966888428,0.0633438229560852,0.452469140291214,0.00389606854878366,0.0006935714627616107,5.617400169372559,
DescribableTextures,3,10,10,8,0.051550209522247314,7.615095138549805,0.10129877924919128,0.5088927149772644,0.0030202846974134445,0.0005191135569475591,5.818158149719238,
DescribableTextures,4,10,10,8,0.016265178099274635,9.258376121520996,0.048217371106147766,0.33733025193214417,0.0020544982980936766,0.0004230417252983898,4.8564910888671875,
DescribableTextures,5,10,10,8,0.025583140552043915,8.73797607421875,0.06423623114824295,0.3982665240764618,0.001952377613633871,0.0003421844739932567,5.705628871917725,
DescribableTextures,6,10,10,8,0.01660805568099022,7.337082386016846,0.040751028805971146,0.40754935145378113,0.0015259344363585114,0.00024603193742223084,6.2021803855896,
DescribableTextures,7,10,10,8,0.017995722591876984,8.93908977508545,0.04916049912571907,0.36606061458587646,0.0016900475602596998,0.0004036726022604853,4.186678886413574,
DescribableTextures,8,10,10,8,0.024892698973417282,8.37197494506836,0.061772968620061874,0.40297073125839233,0.0016519853379577398,0.0003210511349607259,5.145552158355713,
DescribableTextures,9,10,10,8,0.023856017738580704,7.829041004180908,0.058853879570961,0.4053431749343872,0.0009929595980793238,0.0002195017150370404,4.523698806762695,
DescribableTextures,10,10,10,8,0.018691590055823326,6.805935859680176,0.04148530587553978,0.4505592882633209,0.0014159282436594367,0.0002600660955067724,5.444493770599365,
DescribableTextures,11,10,10,8,0.012862160801887512,8.555729866027832,0.03469492122530937,0.3707217276096344,0.0009726923308335245,0.00017792542348615825,5.466854095458984,
DescribableTextures,12,10,10,8,0.02072540856897831,7.0113911628723145,0.04560894891619682,0.45441538095474243,0.0010465133236721158,0.00013552462041843683,7.72194242477417,
DescribableTextures,13,10,10,8,0.027644220739603043,8.180225372314453,0.06545853614807129,0.4223165214061737,0.0010605284478515387,0.00012830192281398922,8.265881538391113,
DescribableTextures,14,10,10,8,0.02178509533405304,8.367916107177734,0.05391712486743927,0.40404778718948364,0.0010402610059827566,0.0004847858508583158,2.14581561088562,
DescribableTextures,15,10,10,8,0.014898257330060005,8.078888893127441,0.041007351130247116,0.36330699920654297,0.0008893708582036197,0.0002304957015439868,3.858513832092285,
DescribableTextures,16,10,10,8,0.020456060767173767,8.37482738494873,0.052577026188373566,0.3890684247016907,0.0006503239274024963,0.00011676982103381306,5.569280624389648,
DescribableTextures,17,10,10,8,0.021346312016248703,8.931352615356445,0.05554746463894844,0.38428959250450134,0.0007263360312208533,7.98678447608836e-05,9.094223976135254,
DescribableTextures,18,10,10,8,0.01208868995308876,8.433650970458984,0.034257423132658005,0.35287797451019287,0.0007037190953269601,6.79901713738218e-05,10.350306510925293,
DescribableTextures,19,10,10,8,0.02432306483387947,9.018860816955566,0.059614717960357666,0.40800437331199646,0.0008156360127031803,7.21098986105062e-05,11.311013221740723,
DescribableTextures,20,10,10,8,0.020782310515642166,8.633284568786621,0.05573613569140434,0.372869610786438,0.0007743759197182953,7.199024548754096e-05,10.756678581237793,
DescribableTextures,21,10,10,8,0.0217311792075634,9.227770805358887,0.05755976587533951,0.37754112482070923,0.0008244180353358388,0.00012757365766447037,6.462290287017822,
DescribableTextures,22,10,10,8,0.022085318341851234,7.710029125213623,0.05199171602725983,0.4247853457927704,0.0010823655175045133,0.0001285555918002501,8.419435501098633,
DescribableTextures,23,10,10,8,0.014497536234557629,8.61314868927002,0.04074404016137123,0.35581979155540466,0.0005241177277639508,0.00013066593965049833,4.011127471923828,
DescribableTextures,24,10,10,8,0.0107946265488863,7.480079650878906,0.026821663603186607,0.4024592339992523,0.0006294191698543727,0.00012717756908386946,4.949136734008789,
DescribableTextures,25,10,10,8,0.017213469371199608,8.215751647949219,0.04416980594396591,0.3897112309932709,0.0005700484034605324,0.00011190262011950836,5.094147205352783,
DescribableTextures,26,10,10,8,0.024258209392428398,9.506139755249023,0.0625319629907608,0.3879329562187195,0.0006217557238414884,9.439629502594471e-05,6.586653709411621,
DescribableTextures,27,10,10,8,0.009875660762190819,6.853795051574707,0.024816805496811867,0.3979424834251404,0.0008464314742013812,7.837419252609834e-05,10.799875259399414,
DescribableTextures,28,10,10,8,0.012470399029552937,7.7248215675354,0.03432486206293106,0.36330515146255493,0.0005677415756508708,4.652817369787954e-05,12.202103614807129,
DescribableTextures,29,10,10,8,0.018261108547449112,7.130978584289551,0.04262946918606758,0.4283682107925415,0.0007330318912863731,3.3274183806497604e-05,22.030048370361328,
DescribableTextures,30,10,10,8,0.018425317481160164,8.913445472717285,0.048703648149967194,0.37831494212150574,0.0007682517170906067,4.9884030886460096e-05,15.400754928588867,
DescribableTextures,31,10,10,8,0.029598774388432503,7.168779373168945,0.062024060636758804,0.47721439599990845,0.0005875692004337907,5.292442801874131e-05,11.102041244506836,
DescribableTextures,32,10,10,8,0.023575732484459877,8.3944091796875,0.0604042187333107,0.3902994394302368,0.00048155186232179403,4.9734175263438374e-05,9.682514190673828,
DescribableTextures,33,10,10,8,0.01434541866183281,8.97655963897705,0.03905376046895981,0.3673248887062073,0.0004233572108205408,3.606352038332261e-05,11.739209175109863,
DescribableTextures,34,10,10,8,0.01838257722556591,8.565162658691406,0.04826238378882408,0.38088831305503845,0.0004241139395162463,3.4011802199529484e-05,12.469611167907715,
DescribableTextures,35,10,10,8,0.01783502660691738,8.872737884521484,0.048332780599594116,0.3690047562122345,0.0005054491339251399,5.830446389154531e-05,8.669132232666016,
DescribableTextures,36,10,10,8,0.017795724794268608,6.992968559265137,0.04088868945837021,0.43522366881370544,0.0006373875075951219,4.7425823140656576e-05,13.439672470092773,
DescribableTextures,37,10,10,8,0.022768234834074974,7.876338958740234,0.053669460117816925,0.42423075437545776,0.0006073266267776489,6.672938616247848e-05,9.101336479187012,
DescribableTextures,38,10,10,8,0.020814059302210808,9.300514221191406,0.055602509528398514,0.37433668971061707,0.0005938213435001671,4.280306529835798e-05,13.873336791992188,
DescribableTextures,39,10,10,8,0.02428683079779148,8.160701751708984,0.05832603946328163,0.41639772057533264,0.0004104860418010503,3.0239123589126393e-05,13.574666023254395,
DescribableTextures,40,10,10,8,0.01485445350408554,7.3511786460876465,0.03664785251021385,0.4053294360637665,0.00045718305045738816,3.334936991450377e-05,13.70889663696289,
DescribableTextures,41,10,10,8,0.02370484545826912,8.297904968261719,0.057740744203329086,0.41053929924964905,0.0007132438477128744,5.253181734587997e-05,13.57736873626709,
DescribableTextures,42,10,10,8,0.02029350958764553,8.018411636352539,0.04956505075097084,0.4094318449497223,0.0005491012707352638,5.305559898260981e-05,10.349544525146484,
DescribableTextures,43,10,10,8,0.018258726224303246,8.905363082885742,0.0488240122795105,0.3739702105522156,0.0006296295905485749,4.684455052483827e-05,13.440829277038574,
DescribableTextures,44,10,10,8,0.029437318444252014,7.386877059936523,0.06353671103715897,0.46331197023391724,0.0005053209606558084,2.7747355488827452e-05,18.211498260498047,
DescribableTextures,45,10,10,8,0.025543896481394768,7.969276428222656,0.059895072132349014,0.42647743225097656,0.0004674266092479229,2.601638698251918e-05,17.96662139892578,
DescribableTextures,46,10,10,8,0.024814948439598083,8.275045394897461,0.059905756264925,0.41423311829566956,0.0004078465572092682,3.4706950827967376e-05,11.75114917755127,
DescribableTextures,47,10,10,8,0.019831068813800812,7.919989109039307,0.05038631334900856,0.39358046650886536,0.0005064242286607623,2.51065066549927e-05,20.17103385925293,
DescribableTextures,48,10,10,8,0.015572397038340569,8.305068969726562,0.04136589914560318,0.3764549493789673,0.000534986553248018,3.078693771385588e-05,17.377063751220703,
