dataset,round,selected_client_count,valid_client_count,svd_rank,kappa,n_eff,mean_pairwise_positive_similarity,direction_concentration,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Office31,0,6,6,8,0.24401941895484924,4.637232303619385,0.34169378876686096,0.7141464948654175,0.04563072696328163,0.005489608272910118,8.312200546264648,
Office31,1,6,6,8,0.01649497076869011,4.844299793243408,0.035692859441041946,0.4621364176273346,0.009228386916220188,0.000998364295810461,9.24350643157959,
Office31,2,6,6,8,0.036148373037576675,4.000997066497803,0.06115322932600975,0.591111421585083,0.009532625786960125,0.0006871148361824453,13.87341022491455,
Office31,3,6,6,8,0.03315719589591026,3.2318265438079834,0.057165805250406265,0.5800179839134216,0.012313841842114925,0.0006573974969796836,18.731197357177734,
Office31,4,6,6,8,0.019044270738959312,4.370828151702881,0.034993726760149,0.5442195534706116,0.007605212740600109,0.0006837706314399838,11.122462272644043,
Office31,5,6,6,8,0.016821254044771194,4.893026351928711,0.03641313686966896,0.4619556665420532,0.006371121853590012,0.0006625356036238372,9.616271018981934,
Office31,6,6,6,8,0.04249819368124008,4.080142498016357,0.07468848675489426,0.5690059661865234,0.009236069396138191,0.0005150024662725627,17.93402862548828,
Office31,7,6,6,8,0.04443729296326637,4.535678863525391,0.08324100077152252,0.5338389873504639,0.0075051067396998405,0.000529480807017535,14.174464225769043,
Office31,8,6,6,8,0.012428014539182186,4.085033893585205,0.024625465273857117,0.504681408405304,0.006808853708207607,0.000552613812033087,12.321179389953613,
Office31,9,6,6,8,0.027836261317133904,4.825771808624268,0.053757328540086746,0.5178133249282837,0.006675172597169876,0.0006545322248712182,10.198386192321777,
Office31,10,6,6,8,0.01397056132555008,4.215797424316406,0.027342522516846657,0.5109463334083557,0.007042723707854748,0.0005777936894446611,12.188993453979492,
Office31,11,6,6,8,0.013072691857814789,4.852989196777344,0.029378823935985565,0.44496989250183105,0.006858509965240955,0.000504411815200001,13.597044944763184,
Office31,12,6,6,8,0.03047490306198597,4.716814994812012,0.06296735256910324,0.4839794337749481,0.007220185361802578,0.0004651112831197679,15.523565292358398,
Office31,13,6,6,8,0.01614798977971077,3.9272661209106445,0.030724521726369858,0.5255733728408813,0.007718282751739025,0.0007248047622852027,10.648775100708008,
Office31,14,6,6,8,0.020887570455670357,4.715179443359375,0.04146362096071243,0.5037565231323242,0.006996111944317818,0.0008207288337871432,8.524267196655273,
Office31,15,6,6,8,0.04087071493268013,4.175286293029785,0.07655303180217743,0.5338876247406006,0.009857486933469772,0.0005216429126448929,18.897001266479492,
Office31,16,6,6,8,0.0018437424441799521,5.206413745880127,0.0048545305617153645,0.3797982931137085,0.005432897247374058,0.0005435560597106814,9.995100021362305,
Office31,17,6,6,8,0.05102026090025902,3.5091540813446045,0.08620895445346832,0.5918208956718445,0.010749430395662785,0.0006126806838437915,17.54491424560547,
Office31,18,6,6,8,0.01742073893547058,4.538215160369873,0.0350007563829422,0.49772462248802185,0.00865031499415636,0.0005538946716114879,15.617256164550781,
Office31,19,6,6,8,0.041734352707862854,2.7629318237304688,0.06305263936519623,0.6618970036506653,0.010062595829367638,0.0005877348012290895,17.12097930908203,
Office31,20,6,6,8,0.009931149892508984,4.835874080657959,0.020562240853905678,0.4829799234867096,0.006609255913645029,0.0005454890197142959,12.116203308105469,
Office31,21,6,6,8,0.051626890897750854,3.14709210395813,0.08248791098594666,0.6258721947669983,0.011769978329539299,0.000502676994074136,23.414594650268555,
Office31,22,6,6,8,0.01163680013269186,3.6898586750030518,0.021439142525196075,0.5427829027175903,0.0054441518150269985,0.0006541355978697538,8.322665214538574,
Office31,23,6,6,8,0.02709127403795719,3.5630977153778076,0.043105900287628174,0.6284818053245544,0.008058481849730015,0.0005806618719361722,13.878097534179688,
Office31,24,6,6,8,0.0045696753077209,5.232785224914551,0.011432905681431293,0.3996950089931488,0.004443155601620674,0.0005056869704276323,8.786375045776367,
Office31,25,6,6,8,0.024911845102906227,4.276882171630859,0.04745085537433624,0.5250030755996704,0.007918843068182468,0.0005242394981905818,15.105391502380371,
