dataset,round,client,fedavg_weight,residual_norm,clipped_residual_norm,support_s,alpha,residual_cos_to_rcon,is_valid_residual
Office31,0,0,0.34264883399009705,0.07811973989009857,0.07811973989009857,0.17149437963962555,0.2326320856809616,0.6617488861083984,1
Office31,0,1,0.34234508872032166,0.07980895787477493,0.07811973989009857,0.24904510378837585,0.3375301659107208,0.8752236366271973,1
Office31,0,2,0.06470230966806412,0.03606857731938362,0.03606857731938362,0.4011608958244324,0.10275639593601227,0.6362783908843994,1
Office31,0,3,0.05680437386035919,0.030909543856978416,0.030909543856978416,0.354719877243042,0.07976966351270676,0.5673213005065918,1
Office31,0,4,0.0984204113483429,0.049717873334884644,0.049717873334884644,0.33532655239105225,0.1306542605161667,0.600806474685669,1
Office31,0,5,0.0950789824128151,0.043174780905246735,0.043174780905246735,0.3099256455898285,0.11665745824575424,0.5692622065544128,1
Office31,1,0,0.34264883399009705,0.0225431676954031,0.0225431676954031,0.019904611632227898,0.25848132371902466,0.6255362629890442,1
Office31,1,1,0.34234508872032166,0.02532219886779785,0.0225431676954031,0.021605676040053368,0.2803226411342621,0.6996487975120544,1
Office31,1,2,0.06470230966806412,0.013008595444262028,0.013008595444262028,0.023835640400648117,0.058448426425457,0.12322476506233215,1
Office31,1,3,0.05680437386035919,0.007251332513988018,0.007251332513988018,0.046300098299980164,0.09967584908008575,0.06054569408297539,1
Office31,1,4,0.0984204113483429,0.014448435045778751,0.014448435045778751,0.03267965465784073,0.12189583480358124,0.16819006204605103,1
Office31,1,5,0.0950789824128151,0.01374161895364523,0.01374161895364523,0.05027935653924942,0.18117591738700867,0.292568176984787,1
Office31,2,0,0.34264883399009705,0.020557953044772148,0.020557953044772148,0.050264764577150345,0.3809789717197418,0.9321821928024292,1
Office31,2,1,0.34234508872032166,0.02240372635424137,0.020557953044772148,0.00570516474545002,0.043203648179769516,-0.07623352855443954,1
Office31,2,2,0.06470230966806412,0.010210711508989334,0.010210711508989334,0.07577987015247345,0.1084580346941948,0.23115718364715576,1
Office31,2,3,0.05680437386035919,0.0075556193478405476,0.0075556193478405476,0.08367171883583069,0.10513530671596527,0.26349037885665894,1
Office31,2,4,0.0984204113483429,0.010379819199442863,0.010379819199442863,0.04407110810279846,0.09594608098268509,0.1960621029138565,1
Office31,2,5,0.0950789824128151,0.010837017558515072,0.010837017558515072,0.12660840153694153,0.26627790927886963,0.5679082274436951,1
Office31,3,0,0.34264883399009705,0.02156176045536995,0.02156176045536995,0.045437298715114594,0.3684113323688507,0.7175358533859253,1
Office31,3,1,0.34234508872032166,0.024937348440289497,0.02156176045536995,0.049063436686992645,0.39745986461639404,0.7697708010673523,1
Office31,3,2,0.06470230966806412,0.0057649132795631886,0.0057649132795631886,0.056591663509607315,0.08664499223232269,-0.007857786491513252,1
Office31,3,3,0.05680437386035919,0.007923722267150879,0.007923722267150879,0.05172926187515259,0.06953272223472595,0.13925722241401672,1
Office31,3,4,0.0984204113483429,0.009301990270614624,0.009301990270614624,0.011128956452012062,0.02591855823993683,-0.11199287325143814,1
Office31,3,5,0.0950789824128151,0.010436611250042915,0.010436611250042915,0.023126980289816856,0.05203250050544739,-0.05277210474014282,1
Office31,4,0,0.34264883399009705,0.022252392023801804,0.022252392023801804,0.015131756663322449,0.2004268616437912,0.6343576312065125,1
Office31,4,1,0.34234508872032166,0.025017283856868744,0.022252390161156654,0.010410262271761894,0.13776633143424988,0.44138437509536743,1
Office31,4,2,0.06470230966806412,0.009240594692528248,0.009240594692528248,0.0,0.0,-0.10565139353275299,1
