round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,3000,50.63333333333333,89.06666666666666,59.944501068168655,93.64523369145725,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,1,3000,45.6,83.8,54.877536031642634,90.39586989531966,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,2,3000,46.3,87.96666666666667,55.83269979846624,92.96888734193868,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,3,3000,35.333333333333336,83.3,43.888013001815345,89.9993408197689,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,4,3000,66.5,90.96666666666667,69.27278433609571,94.60749024400309,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,5,3000,28.166666666666668,85.8,32.77301650373676,91.56379583469536,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,6,3000,38.1,84.56666666666666,44.6171814739631,87.88699790601406,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,7,3000,49.166666666666664,84.73333333333333,59.14604246916142,90.73187158268794,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,8,3000,67.33333333333333,89.6,72.21050600451473,93.09174337318397,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,9,3300,49.06060606060606,88.15151515151516,56.00258640359623,92.57829854744216,0.049989013671875,0.03867203444242477,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,0,3000,50.93333333333333,92.3,60.25382154446602,95.36868822064996,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,1,3000,45.53333333333333,87.1,54.801563977886545,92.40317727390389,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,2,3000,46.03333333333333,90.86666666666666,55.58542907859007,94.33918143979815,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,3,3000,35.5,88.16666666666667,44.062735852684995,92.79634258918428,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,4,3000,66.46666666666667,94.6,69.20355854774132,96.55595756269291,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,5,3000,27.933333333333334,89.96666666666667,32.675799771169935,93.74075982210736,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,6,3000,38.266666666666666,86.46666666666667,44.77869705419549,90.01850601680148,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,7,3000,49.46666666666667,87.16666666666667,59.56383996250438,92.09084907065697,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,8,3000,67.43333333333334,90.56666666666666,72.27747798989363,93.87467811515478,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,9,3300,49.18181818181818,91.45454545454545,56.13197278356602,94.39586766176039,0.0499920654296875,0.03824206419289112,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,0,3000,50.53333333333333,94.33333333333333,59.86965564102572,96.42002791606365,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,1,3000,45.46666666666667,89.0,54.76063122403107,93.28659656213316,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,2,3000,46.0,92.86666666666666,55.61099720374087,95.67976312825819,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,3,3000,35.3,90.46666666666667,43.867640664579724,94.1738711473144,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,4,3000,66.43333333333334,95.3,69.19847204007444,96.73615868114517,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,5,3000,27.933333333333334,91.23333333333333,32.62295796204596,94.41371663940693,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,6,3000,38.0,89.43333333333334,44.51365835700988,91.72871365487359,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,7,3000,49.46666666666667,88.3,59.40910022261722,92.28354172074327,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,8,3000,67.33333333333333,92.0,72.14690065216027,94.90693286370113,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,9,3300,49.21212121212121,93.12121212121212,56.19115808935097,95.13624290904187,0.049993896484375,0.03821896061301231,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,0,3000,50.53333333333333,94.83333333333333,59.91785728778798,96.58951432248438,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,1,3000,45.53333333333333,89.9,54.827306367584214,93.69743619347079,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,2,3000,45.96666666666667,94.16666666666667,55.58590428357718,96.1783252152365,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,3,3000,35.36666666666667,91.73333333333333,43.94448646471697,94.81464108545975,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,4,3000,66.53333333333333,95.36666666666666,69.31635638008125,96.81899385841002,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,5,3000,28.1,92.46666666666667,32.61229012954256,94.9649324900868,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,6,3000,38.333333333333336,89.33333333333333,44.84355496080445,91.62777426234874,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,7,3000,49.233333333333334,90.56666666666666,59.28368588850355,93.37743066588853,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,8,3000,67.23333333333333,92.8,72.09669925415182,95.34016614171209,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,9,3300,49.09090909090909,93.96969696969697,56.01780548713049,95.31468074179617,0.049993896484375,0.038196543082594875,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,0,3000,50.7,95.56666666666666,59.99647620958118,97.11746497075629,0.049996337890625,0.03817782357335091,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,1,3000,45.56666666666667,91.53333333333333,54.89139891320536,94.49298380523821,0.049996337890625,0.03817782357335091,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,2,3000,46.03333333333333,95.16666666666667,55.67662362154551,96.81492787031051,0.049996337890625,0.03817782357335091,2,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
