dataset,round,client,is_selected,is_valid_residual,is_core,fedavg_weight,residual_norm,clipped_residual_norm,support,alpha,residual_cos_to_rcon
Caltech101,0,0,1,1,0,0.10000000149011612,0.025903545320034027,0.0,0.0,0.0,0.49698880314826965
Caltech101,0,1,1,1,1,0.10000000149011612,0.030378783121705055,0.030378786846995354,1.8614072799682617,0.14520502090454102,0.8154343962669373
Caltech101,0,2,1,1,0,0.10000000149011612,0.03107670322060585,0.0,0.0,0.0,0.25889235734939575
Caltech101,0,3,1,1,1,0.10000000149011612,0.036785442382097244,0.0326041616499424,2.352736473083496,0.1835327297449112,0.9059415459632874
Caltech101,0,4,1,1,1,0.10000000149011612,0.0326041504740715,0.0326041579246521,1.100791096687317,0.08587072789669037,0.6401496529579163
Caltech101,0,5,1,1,1,0.10000000149011612,0.027379712089896202,0.027379710227251053,2.0663604736328125,0.16119304299354553,0.8341201543807983
Caltech101,0,6,1,1,1,0.10000000149011612,0.050567492842674255,0.0326041504740715,1.4077832698822021,0.10981862992048264,0.7060160636901855
Caltech101,0,7,1,1,0,0.10000000149011612,0.029019583016633987,0.0,0.0,0.0,0.4455435574054718
Caltech101,0,8,1,1,1,0.10000000149011612,0.03561340644955635,0.0326041541993618,1.6029173135757446,0.1250406801700592,0.754566490650177
Caltech101,0,9,1,1,1,0.10000000149011612,0.03076467476785183,0.030764684081077576,2.427171230316162,0.18933925032615662,0.9163460731506348
Caltech101,1,0,1,1,0,0.10000000149011612,0.011800759471952915,0.0,0.0,0.0,0.0
Caltech101,1,1,1,1,0,0.10000000149011612,0.006796625442802906,0.0,0.0,0.0,0.0
Caltech101,1,2,1,1,0,0.10000000149011612,0.0073145353235304356,0.0,0.0,0.0,0.0
Caltech101,1,3,1,1,0,0.10000000149011612,0.009230251424014568,0.0,0.0,0.0,0.0
Caltech101,1,4,1,1,0,0.10000000149011612,0.0053630247712135315,0.0,0.0,0.0,0.0
Caltech101,1,5,1,1,0,0.10000000149011612,0.006533092353492975,0.0,0.0,0.0,0.0
Caltech101,1,6,1,1,0,0.10000000149011612,0.007689532358199358,0.0,0.0,0.0,0.0
Caltech101,1,7,1,1,0,0.10000000149011612,0.014261136762797832,0.0,0.0,0.0,0.0
Caltech101,1,8,1,1,0,0.10000000149011612,0.004457992035895586,0.0,0.0,0.0,0.0
Caltech101,1,9,1,1,0,0.10000000149011612,0.005288146901875734,0.0,0.0,0.0,0.0
Caltech101,2,0,1,1,0,0.10000000149011612,0.005943552125245333,0.0,0.0,0.0,0.0
Caltech101,2,1,1,1,0,0.10000000149011612,0.003719792002812028,0.0,0.0,0.0,0.0
Caltech101,2,2,1,1,0,0.10000000149011612,0.008341452106833458,0.0,0.0,0.0,0.0
Caltech101,2,3,1,1,0,0.10000000149011612,0.006402087863534689,0.0,0.0,0.0,0.0
Caltech101,2,4,1,1,0,0.10000000149011612,0.004666559863835573,0.0,0.0,0.0,0.0
Caltech101,2,5,1,1,0,0.10000000149011612,0.010210823267698288,0.0,0.0,0.0,0.0
Caltech101,2,6,1,1,0,0.10000000149011612,0.00652742013335228,0.0,0.0,0.0,0.0
Caltech101,2,7,1,1,0,0.10000000149011612,0.006439758464694023,0.0,0.0,0.0,0.0
Caltech101,2,8,1,1,0,0.10000000149011612,0.006060353945940733,0.0,0.0,0.0,0.0
Caltech101,2,9,1,1,0,0.10000000149011612,0.004841229412704706,0.0,0.0,0.0,0.0
Caltech101,3,0,1,1,0,0.10000000149011612,0.0072366539388895035,0.0,0.0,0.0,0.0
Caltech101,3,1,1,1,0,0.10000000149011612,0.005898628383874893,0.0,0.0,0.0,0.0
Caltech101,3,2,1,1,0,0.10000000149011612,0.007620013318955898,0.0,0.0,0.0,0.0
Caltech101,3,3,1,1,0,0.10000000149011612,0.005697713233530521,0.0,0.0,0.0,0.0
Caltech101,3,4,1,1,0,0.10000000149011612,0.004627889953553677,0.0,0.0,0.0,0.0
Caltech101,3,5,1,1,0,0.10000000149011612,0.004717368632555008,0.0,0.0,0.0,0.0
Caltech101,3,6,1,1,0,0.10000000149011612,0.007762589026242495,0.0,0.0,0.0,0.0
Caltech101,3,7,1,1,0,0.10000000149011612,0.006519268732517958,0.0,0.0,0.0,0.0
Caltech101,3,8,1,1,0,0.10000000149011612,0.004552011843770742,0.0,0.0,0.0,0.0
Caltech101,3,9,1,1,0,0.10000000149011612,0.006109707057476044,0.0,0.0,0.0,0.0
Caltech101,4,0,1,1,0,0.10000000149011612,0.007424091920256615,0.0,0.0,0.0,0.0
Caltech101,4,1,1,1,0,0.10000000149011612,0.005260917823761702,0.0,0.0,0.0,0.0
Caltech101,4,2,1,1,0,0.10000000149011612,0.0073430477641522884,0.0,0.0,0.0,0.0
Caltech101,4,3,1,1,0,0.10000000149011612,0.004300547298043966,0.0,0.0,0.0,0.0
Caltech101,4,4,1,1,0,0.10000000149011612,0.005574441514909267,0.0,0.0,0.0,0.0
Caltech101,4,5,1,1,0,0.10000000149011612,0.008425814099609852,0.0,0.0,0.0,0.0
Caltech101,4,6,1,1,0,0.10000000149011612,0.007986621931195259,0.0,0.0,0.0,0.0
Caltech101,4,7,1,1,0,0.10000000149011612,0.0045020184479653835,0.0,0.0,0.0,0.0
Caltech101,4,8,1,1,0,0.10000000149011612,0.005776451900601387,0.0,0.0,0.0,0.0
Caltech101,4,9,1,1,0,0.10000000149011612,0.005590503569692373,0.0,0.0,0.0,0.0
Caltech101,5,0,1,1,0,0.10000000149011612,0.0045285578817129135,0.0,0.0,0.0,0.0
Caltech101,5,1,1,1,0,0.10000000149011612,0.0064739808440208435,0.0,0.0,0.0,0.0
Caltech101,5,2,1,1,0,0.10000000149011612,0.011675483547151089,0.0,0.0,0.0,0.0
Caltech101,5,3,1,1,0,0.10000000149011612,0.0056208050809800625,0.0,0.0,0.0,0.0
Caltech101,5,4,1,1,0,0.10000000149011612,0.00431573111563921,0.0,0.0,0.0,0.0
Caltech101,5,5,1,1,0,0.10000000149011612,0.003591324668377638,0.0,0.0,0.0,0.0
Caltech101,5,6,1,1,0,0.10000000149011612,0.006671122740954161,0.0,0.0,0.0,0.0
Caltech101,5,7,1,1,0,0.10000000149011612,0.007629729341715574,0.0,0.0,0.0,0.0
Caltech101,5,8,1,1,0,0.10000000149011612,0.004852563142776489,0.0,0.0,0.0,0.0
Caltech101,5,9,1,1,0,0.10000000149011612,0.005101477727293968,0.0,0.0,0.0,0.0
Caltech101,6,0,1,1,0,0.10000000149011612,0.006045399233698845,0.0,0.0,0.0,0.0
Caltech101,6,1,1,1,0,0.10000000149011612,0.007219159975647926,0.0,0.0,0.0,0.0
Caltech101,6,2,1,1,0,0.10000000149011612,0.006099930964410305,0.0,0.0,0.0,0.0
Caltech101,6,3,1,1,0,0.10000000149011612,0.005252158269286156,0.0,0.0,0.0,0.0
Caltech101,6,4,1,1,0,0.10000000149011612,0.0036517309490591288,0.0,0.0,0.0,0.0
Caltech101,6,5,1,1,0,0.10000000149011612,0.004421261604875326,0.0,0.0,0.0,0.0
Caltech101,6,6,1,1,0,0.10000000149011612,0.005496660713106394,0.0,0.0,0.0,0.0
Caltech101,6,7,1,1,0,0.10000000149011612,0.004813239444047213,0.0,0.0,0.0,0.0
Caltech101,6,8,1,1,0,0.10000000149011612,0.004510851111263037,0.0,0.0,0.0,0.0
Caltech101,6,9,1,1,0,0.10000000149011612,0.004006518982350826,0.0,0.0,0.0,0.0
Caltech101,7,0,1,1,0,0.10000000149011612,0.005412648431956768,0.0,0.0,0.0,0.0
Caltech101,7,1,1,1,0,0.10000000149011612,0.006142004393041134,0.0,0.0,0.0,0.0
Caltech101,7,2,1,1,0,0.10000000149011612,0.006078817881643772,0.0,0.0,0.0,0.0
Caltech101,7,3,1,1,0,0.10000000149011612,0.005104800686240196,0.0,0.0,0.0,0.0
Caltech101,7,4,1,1,0,0.10000000149011612,0.005757489707320929,0.0,0.0,0.0,0.0
Caltech101,7,5,1,1,0,0.10000000149011612,0.005071660503745079,0.0,0.0,0.0,0.0
Caltech101,7,6,1,1,0,0.10000000149011612,0.005301120691001415,0.0,0.0,0.0,0.0
Caltech101,7,7,1,1,0,0.10000000149011612,0.004239565227180719,0.0,0.0,0.0,0.0
Caltech101,7,8,1,1,0,0.10000000149011612,0.006017448380589485,0.0,0.0,0.0,0.0
Caltech101,7,9,1,1,0,0.10000000149011612,0.00543926190584898,0.0,0.0,0.0,0.0
Caltech101,8,0,1,1,0,0.10000000149011612,0.0035399601329118013,0.0,0.0,0.0,0.0
Caltech101,8,1,1,1,0,0.10000000149011612,0.007707873359322548,0.0,0.0,0.0,0.0
Caltech101,8,2,1,1,0,0.10000000149011612,0.006043889094144106,0.0,0.0,0.0,0.0
Caltech101,8,3,1,1,0,0.10000000149011612,0.00502546364441514,0.0,0.0,0.0,0.0
Caltech101,8,4,1,1,0,0.10000000149011612,0.004257776774466038,0.0,0.0,0.0,0.0
