dataset,round,selected_client_count,valid_client_count,svd_rank,effective_dimension,alpha_round,alpha_edge,dynamic_margin,raw_pairwise_cos_mean,raw_pairwise_cos_std,significant_edge_count,consensus_detected,core_size,core_coverage,core_ids,core_score,n_eff,active_alpha_ratio,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Caltech101,0,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.4367702603340149,0.20341959595680237,35,1,7,0.7,"[1, 3, 4, 5, 6, 8, 9]",0.21365279555320738,6.59324445778857,0.699999988079071,0.025433730334043503,0.002907093148678541,8.748852729797363,
Caltech101,1,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0357966423034668,0.11027874797582626,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.001066525117494166,0.0,no_significant_core
Caltech101,2,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.032199058681726456,0.09128168970346451,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000763013435062021,0.0,no_significant_core
Caltech101,3,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0017685784259811044,0.09597264230251312,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000393715628888458,0.0,no_significant_core
Caltech101,4,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.006245641503483057,0.09227190911769867,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00021173352433834225,0.0,no_significant_core
Caltech101,5,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.00485942792147398,0.10621024668216705,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00023965143191162497,0.0,no_significant_core
Caltech101,6,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.014901060611009598,0.1125478520989418,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001729705254547298,0.0,no_significant_core
Caltech101,7,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0018542846664786339,0.10727731883525848,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001552123430883512,0.0,no_significant_core
Caltech101,8,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.020263368263840675,0.11350192874670029,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00017191650113090873,0.0,no_significant_core
Caltech101,9,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.007896170020103455,0.11099996417760849,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001995787170017138,0.0,no_significant_core
Caltech101,10,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.004054852295666933,0.11166401207447052,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00016352577949874103,0.0,no_significant_core
Caltech101,11,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.0015286939451470971,0.09998785704374313,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0007908536354079843,0.0,no_significant_core
Caltech101,12,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.002543556736782193,0.11759339272975922,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00045887986198067665,0.0,no_significant_core
Caltech101,13,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0017288420349359512,0.09818588942289352,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00020483288972172886,0.0,no_significant_core
Caltech101,14,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.034367769956588745,0.0940571054816246,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00017274904530495405,0.0,no_significant_core
Caltech101,15,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.014667479321360588,0.11533404886722565,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00014892306353431195,0.0,no_significant_core
Caltech101,16,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.010021255351603031,0.103113554418087,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00013053769362159073,0.0,no_significant_core
Caltech101,17,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.00019574562611524016,0.11175894737243652,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00015807701856829226,0.0,no_significant_core
Caltech101,18,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.010841784067451954,0.11145097017288208,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001522821985417977,0.0,no_significant_core
Caltech101,19,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.049240387976169586,0.12704333662986755,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00017617197590880096,0.0,no_significant_core
Caltech101,20,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.023735590279102325,0.11654582619667053,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001697142142802477,0.0,no_significant_core
Caltech101,21,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.01763252541422844,0.09883766621351242,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001654057123232633,0.0,no_significant_core
Caltech101,22,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.028070446103811264,0.11182276159524918,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00012451419024728239,0.0,no_significant_core
Caltech101,23,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.022455517202615738,0.09327065199613571,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00011983638250967488,0.0,no_significant_core
Caltech101,24,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.017711494117975235,0.09961424767971039,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00011545162851689383,0.0,no_significant_core
