round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,399,60.150375939849624,87.21804511278195,77.02610356536503,95.88529424426918,0.04998779296875,0.03964618839323521,1,A2
0,1,176,67.04545454545455,94.88636363636364,73.29743539884193,95.8633007859014,0.04998779296875,0.03964618839323521,1,A2
0,2,154,48.05194805194805,81.16883116883118,49.65982053796699,84.61916793756095,0.04998779296875,0.03964618839323521,1,A2
0,3,162,61.111111111111114,88.27160493827161,59.68058350100603,90.37331330078254,0.04998779296875,0.03964618839323521,1,A2
0,4,221,85.97285067873302,97.28506787330316,86.08685168942664,97.55486615053704,0.04998779296875,0.03964618839323521,1,A2
0,5,157,80.89171974522293,96.17834394904459,86.40578138688856,98.29281045751634,0.04998779296875,0.03964618839323521,1,A2
0,6,171,44.44444444444444,89.47368421052632,52.79452477347214,93.41116566648482,0.04998779296875,0.03964618839323521,1,A2
0,7,404,82.17821782178218,94.55445544554455,76.82779146141215,90.85262799778067,0.04998779296875,0.03964618839323521,1,A2
0,8,415,87.71084337349397,99.51807228915662,74.84023680394142,99.36687631027254,0.04998779296875,0.03964618839323521,1,A2
0,9,206,73.30097087378641,92.23300970873787,73.89423313184923,93.73313782991201,0.04998779296875,0.03964618839323521,1,A2
1,0,399,60.150375939849624,99.49874686716792,77.02610356536503,99.43977591036415,0.04998779296875,0.039185979887843135,1,A2
1,1,176,67.04545454545455,96.02272727272727,73.29743539884193,97.16655893126483,0.04998779296875,0.039185979887843135,1,A2
1,2,154,47.4025974025974,87.01298701298701,49.389915004903564,90.22537348272643,0.04998779296875,0.039185979887843135,1,A2
1,3,162,61.111111111111114,94.44444444444444,59.68058350100603,95.25145079451889,0.04998779296875,0.039185979887843135,1,A2
1,4,221,86.42533936651584,98.64253393665159,86.38882613774254,98.81927838886233,0.04998779296875,0.039185979887843135,1,A2
1,5,157,80.89171974522293,99.36305732484077,86.40578138688856,99.60000000000001,0.04998779296875,0.039185979887843135,1,A2
1,6,171,44.44444444444444,96.49122807017544,52.79452477347214,98.1977361977362,0.04998779296875,0.039185979887843135,1,A2
1,7,404,82.17821782178218,96.53465346534654,76.82779146141215,94.68769582972499,0.04998779296875,0.039185979887843135,1,A2
1,8,415,87.46987951807229,99.75903614457832,74.63244459614923,99.84126984126985,0.04998779296875,0.039185979887843135,1,A2
1,9,206,73.30097087378641,95.63106796116504,73.89423313184923,96.14862914862915,0.04998779296875,0.039185979887843135,1,A2
2,0,399,60.150375939849624,99.24812030075188,77.02610356536503,99.32771292693472,0.04998779296875,0.03916671305894852,1,A2
2,1,176,67.04545454545455,97.72727272727273,73.4264036528102,97.99313893653515,0.04998779296875,0.03916671305894852,1,A2
2,2,154,48.05194805194805,87.66233766233766,49.501090379236835,91.33333333333333,0.04998779296875,0.03916671305894852,1,A2
2,3,162,60.49382716049383,97.53086419753086,58.891109816795506,97.73187052598817,0.04998779296875,0.03916671305894852,1,A2
2,4,221,84.16289592760181,98.19004524886878,82.9364451853616,98.38449578016666,0.04998779296875,0.03916671305894852,1,A2
2,5,157,80.89171974522293,98.08917197452229,86.40578138688856,99.1891891891892,0.04998779296875,0.03916671305894852,1,A2
2,6,171,44.44444444444444,96.49122807017544,52.42529400424137,98.1977361977362,0.04998779296875,0.03916671305894852,1,A2
2,7,404,82.42574257425743,96.53465346534654,76.85165401311436,94.85787048265827,0.04998779296875,0.03916671305894852,1,A2
2,8,415,87.46987951807229,99.75903614457832,74.63244459614923,99.84126984126985,0.04998779296875,0.03916671305894852,1,A2
2,9,206,73.7864077669903,95.63106796116504,74.19453343214954,96.14640844052609,0.04998779296875,0.03916671305894852,1,A2
3,0,399,60.150375939849624,99.49874686716792,77.02610356536503,99.63676633444075,0.049989013671875,0.03915449403226376,1,A2
3,1,176,67.04545454545455,98.29545454545455,73.29743539884193,98.69565217391305,0.049989013671875,0.03915449403226376,1,A2
3,2,154,48.05194805194805,93.50649350649351,49.65982053796699,94.25116713352007,0.049989013671875,0.03915449403226376,1,A2
3,3,162,60.49382716049383,96.29629629629629,58.891109816795506,96.21217751652533,0.049989013671875,0.03915449403226376,1,A2
3,4,221,85.97285067873302,99.09502262443439,86.08685168942664,99.38572719060524,0.049989013671875,0.03915449403226376,1,A2
3,5,157,80.2547770700637,100.0,86.10380693857265,100.0,0.049989013671875,0.03915449403226376,1,A2
3,6,171,45.02923976608187,96.49122807017544,53.15488513383251,98.1977361977362,0.049989013671875,0.03915449403226376,1,A2
3,7,404,82.17821782178218,96.78217821782178,76.82779146141215,95.16826184568122,0.049989013671875,0.03915449403226376,1,A2
3,8,415,87.71084337349397,99.27710843373494,74.84023680394142,98.88266417678182,0.049989013671875,0.03915449403226376,1,A2
3,9,206,73.30097087378641,97.0873786407767,73.89423313184923,97.30485304169514,0.049989013671875,0.03915449403226376,1,A2
4,0,399,60.40100250626566,100.0,77.18956510382657,100.0,0.0499908447265625,0.03914179719984531,1,A2
4,1,176,67.04545454545455,97.72727272727273,73.29743539884193,97.93791574279378,0.0499908447265625,0.03914179719984531,1,A2
4,2,154,48.05194805194805,92.20779220779221,49.65982053796699,93.55210802269627,0.0499908447265625,0.03914179719984531,1,A2
4,3,162,60.49382716049383,96.29629629629629,58.891109816795506,97.23684642939301,0.0499908447265625,0.03914179719984531,1,A2
4,4,221,85.06787330316742,99.5475113122172,83.58685168942664,99.22038980509745,0.0499908447265625,0.03914179719984531,1,A2
4,5,157,80.89171974522293,100.0,86.40578138688856,100.0,0.0499908447265625,0.03914179719984531,1,A2
4,6,171,44.44444444444444,96.49122807017544,52.79452477347214,98.1977361977362,0.0499908447265625,0.03914179719984531,1,A2
4,7,404,81.93069306930693,97.52475247524752,76.80382214214082,96.25148756305325,0.0499908447265625,0.03914179719984531,1,A2
4,8,415,87.46987951807229,99.75903614457832,74.63244459614923,99.84126984126985,0.0499908447265625,0.03914179719984531,1,A2
4,9,206,73.7864077669903,98.05825242718447,74.19453343214954,97.91311612364242,0.0499908447265625,0.03914179719984531,1,A2
5,0,399,60.150375939849624,99.74937343358395,77.02610356536503,99.67567567567566,0.0499908447265625,0.03913036443293095,1,A2
5,1,176,67.04545454545455,98.29545454545455,73.4264036528102,98.72668579626973,0.0499908447265625,0.03913036443293095,1,A2
5,2,154,47.4025974025974,95.45454545454545,49.389915004903564,95.40128602048107,0.0499908447265625,0.03913036443293095,1,A2
5,3,162,60.49382716049383,96.29629629629629,58.891109816795506,97.08532321141016,0.0499908447265625,0.03913036443293095,1,A2
5,4,221,85.06787330316742,99.5475113122172,83.58685168942664,99.22038980509745,0.0499908447265625,0.03913036443293095,1,A2
5,5,157,80.89171974522293,100.0,86.40578138688856,100.0,0.0499908447265625,0.03913036443293095,1,A2
5,6,171,44.44444444444444,97.6608187134503,52.42529400424137,98.75213675213675,0.0499908447265625,0.03913036443293095,1,A2
5,7,404,82.42574257425743,98.01980198019803,76.988017649478,97.00454150804781,0.0499908447265625,0.03913036443293095,1,A2
5,8,415,87.71084337349397,99.51807228915662,74.84023680394142,99.36687631027254,0.0499908447265625,0.03913036443293095,1,A2
