idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49
0,87.21804511278195,99.49874686716792,99.24812030075188,99.49874686716792,100.0,99.74937343358395,97.74436090225564,99.74937343358395,100.0,99.74937343358395,98.99749373433583,98.99749373433583,99.24812030075188,99.74937343358395,100.0,99.74937343358395,99.74937343358395,99.74937343358395,100.0,99.74937343358395,99.49874686716792,100.0,99.24812030075188,99.74937343358395,99.74937343358395,100.0,100.0,99.74937343358395,99.74937343358395,100.0,99.24812030075188,100.0,100.0,99.74937343358395,100.0,99.74937343358395,100.0,99.24812030075188,99.74937343358395,99.74937343358395,100.0,100.0,100.0,99.74937343358395,99.24812030075188,100.0,100.0,99.74937343358395,100.0,100.0
1,94.88636363636364,96.02272727272727,97.72727272727273,98.29545454545455,97.72727272727273,98.29545454545455,99.43181818181819,97.72727272727273,99.43181818181819,97.72727272727273,98.86363636363636,98.86363636363636,97.72727272727273,98.29545454545455,98.29545454545455,98.86363636363636,98.86363636363636,98.86363636363636,98.86363636363636,98.86363636363636,99.43181818181819,98.86363636363636,99.43181818181819,97.72727272727273,99.43181818181819,98.86363636363636,97.72727272727273,98.86363636363636,97.72727272727273,99.43181818181819,98.29545454545455,98.86363636363636,99.43181818181819,98.29545454545455,99.43181818181819,98.29545454545455,97.72727272727273,99.43181818181819,97.1590909090909,98.86363636363636,98.29545454545455,98.86363636363636,99.43181818181819,98.86363636363636,98.29545454545455,98.86363636363636,99.43181818181819,98.86363636363636,98.29545454545455,98.86363636363636
2,81.16883116883118,87.01298701298701,87.66233766233766,93.50649350649351,92.20779220779221,95.45454545454545,97.40259740259741,97.40259740259741,96.1038961038961,93.50649350649351,97.40259740259741,95.45454545454545,94.8051948051948,98.7012987012987,96.75324675324676,96.75324675324676,90.25974025974025,98.05194805194805,96.75324675324676,96.1038961038961,96.75324675324676,96.1038961038961,96.1038961038961,95.45454545454545,97.40259740259741,96.75324675324676,96.75324675324676,98.05194805194805,96.1038961038961,98.7012987012987,97.40259740259741,98.05194805194805,96.75324675324676,98.05194805194805,95.45454545454545,96.75324675324676,96.75324675324676,96.1038961038961,98.05194805194805,97.40259740259741,96.1038961038961,98.05194805194805,95.45454545454545,94.8051948051948,98.05194805194805,98.05194805194805,97.40259740259741,98.05194805194805,96.75324675324676,96.1038961038961
3,88.27160493827161,94.44444444444444,97.53086419753086,96.29629629629629,96.29629629629629,96.29629629629629,96.91358024691358,95.67901234567901,97.53086419753086,95.06172839506173,96.91358024691358,96.91358024691358,96.91358024691358,96.91358024691358,96.91358024691358,97.53086419753086,96.29629629629629,98.14814814814815,96.91358024691358,97.53086419753086,96.91358024691358,98.14814814814815,96.29629629629629,98.14814814814815,96.29629629629629,98.14814814814815,96.91358024691358,98.76543209876543,96.91358024691358,97.53086419753086,96.29629629629629,98.14814814814815,98.14814814814815,98.14814814814815,98.14814814814815,98.14814814814815,98.14814814814815,96.91358024691358,97.53086419753086,97.53086419753086,96.29629629629629,98.14814814814815,98.14814814814815,98.14814814814815,96.91358024691358,96.29629629629629,96.91358024691358,98.14814814814815,97.53086419753086,96.91358024691358
4,97.28506787330316,98.64253393665159,98.19004524886878,99.09502262443439,99.5475113122172,99.5475113122172,99.5475113122172,97.28506787330316,99.09502262443439,99.5475113122172,99.5475113122172,100.0,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,100.0,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.09502262443439,99.5475113122172,100.0,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.09502262443439,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172,100.0,99.5475113122172,99.5475113122172,99.5475113122172,99.5475113122172
5,96.17834394904459,99.36305732484077,98.08917197452229,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,89.47368421052632,96.49122807017544,96.49122807017544,96.49122807017544,96.49122807017544,97.6608187134503,97.6608187134503,97.6608187134503,98.24561403508773,98.83040935672514,97.6608187134503,97.6608187134503,97.6608187134503,98.83040935672514,99.41520467836257,99.41520467836257,98.83040935672514,98.24561403508773,98.24561403508773,98.83040935672514,99.41520467836257,98.83040935672514,98.83040935672514,98.83040935672514,98.24561403508773,99.41520467836257,98.83040935672514,98.83040935672514,99.41520467836257,98.83040935672514,99.41520467836257,99.41520467836257,98.83040935672514,98.83040935672514,98.24561403508773,99.41520467836257,98.83040935672514,98.83040935672514,99.41520467836257,98.83040935672514,99.41520467836257,98.83040935672514,98.83040935672514,98.24561403508773,98.83040935672514,100.0,98.83040935672514,99.41520467836257,99.41520467836257,99.41520467836257
7,94.55445544554455,96.53465346534654,96.53465346534654,96.78217821782178,97.52475247524752,98.01980198019803,97.77227722772277,98.26732673267327,98.01980198019803,98.51485148514851,98.51485148514851,98.26732673267327,98.76237623762377,98.51485148514851,99.25742574257426,99.00990099009901,98.01980198019803,99.00990099009901,99.25742574257426,98.51485148514851,99.25742574257426,98.76237623762377,98.76237623762377,98.76237623762377,99.25742574257426,99.00990099009901,99.25742574257426,99.00990099009901,99.00990099009901,99.25742574257426,99.00990099009901,99.00990099009901,99.00990099009901,98.51485148514851,98.76237623762377,98.51485148514851,99.25742574257426,98.76237623762377,98.76237623762377,98.51485148514851,98.76237623762377,99.00990099009901,98.51485148514851,98.76237623762377,98.01980198019803,98.76237623762377,99.00990099009901,98.76237623762377,99.00990099009901,98.51485148514851
8,99.51807228915662,99.75903614457832,99.75903614457832,99.27710843373494,99.75903614457832,99.51807228915662,99.27710843373494,99.75903614457832,99.51807228915662,99.75903614457832,99.51807228915662,99.75903614457832,99.27710843373494,99.51807228915662,99.51807228915662,99.51807228915662,99.51807228915662,99.27710843373494,99.03614457831326,99.27710843373494,99.51807228915662,99.03614457831326,99.27710843373494,99.03614457831326,99.27710843373494,98.55421686746988,99.51807228915662,99.51807228915662,99.27710843373494,99.03614457831326,99.27710843373494,99.27710843373494,99.03614457831326,99.03614457831326,99.27710843373494,99.03614457831326,99.27710843373494,98.79518072289157,99.27710843373494,99.27710843373494,98.79518072289157,98.55421686746988,99.03614457831326,99.03614457831326,99.03614457831326,99.51807228915662,99.03614457831326,98.55421686746988,99.03614457831326,99.03614457831326
9,92.23300970873787,95.63106796116504,95.63106796116504,97.0873786407767,98.05825242718447,98.54368932038835,98.54368932038835,97.57281553398059,98.54368932038835,99.02912621359224,99.51456310679612,99.51456310679612,98.54368932038835,99.51456310679612,100.0,99.51456310679612,100.0,99.02912621359224,99.51456310679612,100.0,100.0,100.0,99.51456310679612,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51456310679612,99.51456310679612,99.51456310679612,99.51456310679612,100.0,99.51456310679612,100.0,99.51456310679612,100.0,100.0,99.51456310679612,100.0,99.51456310679612,100.0,100.0,99.51456310679612,100.0,100.0,100.0,100.0
