round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,269,64.31226765799256,88.10408921933086,58.39543599422373,86.96151436182979,0.04998779296875,0.03731447765603661,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,1,293,67.23549488054607,85.32423208191126,56.6328892394811,80.88736199177096,0.04998779296875,0.03731447765603661,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,2,44,61.36363636363637,84.0909090909091,61.23582766439909,84.49735449735452,0.04998779296875,0.03731447765603661,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,3,54,75.92592592592592,81.48148148148148,65.73988735279057,74.715821812596,0.04998779296875,0.03731447765603661,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,4,69,66.66666666666667,84.05797101449275,59.90589121023903,80.07953399257748,0.04998779296875,0.03731447765603661,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,5,89,74.15730337078652,87.64044943820225,64.95477956578526,80.12672811059907,0.04998779296875,0.03731447765603661,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,0,269,64.68401486988847,89.21933085501858,58.518841999982676,87.25393995839846,0.04998779296875,0.035014862511307004,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,1,293,67.23549488054607,85.32423208191126,56.70691136820169,79.09243541046328,0.04998779296875,0.035014862511307004,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,2,44,61.36363636363637,84.0909090909091,61.23582766439909,84.86772486772489,0.04998779296875,0.035014862511307004,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,3,54,74.07407407407408,88.88888888888889,64.94623655913978,81.87403993855608,0.04998779296875,0.035014862511307004,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,4,69,66.66666666666667,89.85507246376811,59.90589121023903,81.66290231507622,0.04998779296875,0.035014862511307004,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,5,89,74.15730337078652,93.25842696629213,64.95477956578526,91.06246799795188,0.04998779296875,0.035014862511307004,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,0,269,64.31226765799256,89.96282527881041,58.39543599422373,88.22714194661434,0.04998779296875,0.034829776901751756,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,1,293,67.23549488054607,87.37201365187714,56.6328892394811,79.97919073851017,0.04998779296875,0.034829776901751756,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,2,44,59.09090909090909,93.18181818181819,60.38548752834467,94.66364323507183,0.04998779296875,0.034829776901751756,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,3,54,74.07407407407408,88.88888888888889,64.94623655913978,82.11981566820276,0.04998779296875,0.034829776901751756,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,4,69,66.66666666666667,88.40579710144928,59.90589121023903,89.77382520860783,0.04998779296875,0.034829776901751756,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,5,89,74.15730337078652,93.25842696629213,64.95477956578526,86.95310382217404,0.04998779296875,0.034829776901751756,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,0,269,64.68401486988847,91.44981412639405,58.518841999982676,90.34602684600476,0.04998779296875,0.03468935547396541,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,1,293,67.23549488054607,88.05460750853243,56.70691136820169,81.52472320727813,0.04998779296875,0.03468935547396541,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,2,44,59.09090909090909,88.63636363636364,60.38548752834467,92.76815776815778,0.04998779296875,0.03468935547396541,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,3,54,75.92592592592592,88.88888888888889,65.73988735279057,81.6589861751152,0.04998779296875,0.03468935547396541,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,4,69,66.66666666666667,89.85507246376811,59.90589121023903,86.44707949055777,0.04998779296875,0.03468935547396541,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
3,5,89,74.15730337078652,91.01123595505618,64.95477956578526,81.76139272913467,0.04998779296875,0.03468935547396541,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,0,269,64.31226765799256,90.33457249070632,58.39543599422373,88.86648174504728,0.04998779296875,0.034559050593525174,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,1,293,67.23549488054607,87.03071672354949,56.70691136820169,80.98082778366236,0.04998779296875,0.034559050593525174,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,2,44,61.36363636363637,90.9090909090909,61.23582766439909,93.71126228269085,0.04998779296875,0.034559050593525174,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,3,54,74.07407407407408,88.88888888888889,64.94623655913978,79.10906298003071,0.04998779296875,0.034559050593525174,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,4,69,66.66666666666667,89.85507246376811,59.90589121023903,90.89152393500221,0.04998779296875,0.034559050593525174,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
4,5,89,74.15730337078652,94.38202247191012,64.95477956578526,92.1092738170537,0.04998779296875,0.034559050593525174,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
5,0,269,64.68401486988847,89.59107806691449,58.518841999982676,87.67167014545902,0.04998779296875,0.034417036604136225,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
5,1,293,66.89419795221843,87.71331058020478,56.04950425918168,81.64914339013545,0.04998779296875,0.034417036604136225,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
5,2,44,61.36363636363637,90.9090909090909,61.23582766439909,91.32824847110564,0.04998779296875,0.034417036604136225,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
5,3,54,75.92592592592592,88.88888888888889,65.73988735279057,79.10906298003071,0.04998779296875,0.034417036604136225,1,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
