dataset,lambda,round,client,local_epoch,batch,valid,invalid_reason,spf_gamma,spf_rank,ce_loss,mse_loss,weighted_mse_loss,total_loss,ce_grad_norm,mse_grad_norm,dot_ce_mse,cos_ce_mse,effective_pull_ratio,utility
Office31,0.3,0,0,0,0,1,,0.01000213623046875,8.0,1.1015625,0.0002354550815653056,7.063652446959168e-05,1.1016331365244696,38.344295501708984,0.00033906378666870296,-0.0002000962704187259,-0.015390645077904327,2.652784062653457e-06,-4.082805797976185e-08
Office31,0.3,0,1,0,0,1,,0.01000213623046875,8.0,1.818359375,0.0002354550815653056,7.063652446959168e-05,1.8184300115244696,30.52534294128418,0.00033906378666870296,0.00023607927141711116,0.02280950688514086,3.3322847902565874e-06,7.600777287395394e-08
Office31,0.3,0,2,0,0,1,,0.01000213623046875,8.0,1.5947265625,0.0002354550815653056,7.063652446959168e-05,1.5947971990244696,51.39158248901367,0.00033906378666870296,0.00014127757458481938,0.00810774034074366,1.9792956564891553e-06,1.6047615241297087e-08
Office31,0.3,0,3,0,0,1,,0.01000213623046875,8.0,1.4462890625,0.0002354550815653056,7.063652446959168e-05,1.4463596990244696,47.849735260009766,0.00033906378666870296,0.00032346672378480434,0.019937406449400858,2.1258035273942284e-06,4.2383008959842005e-08
Office31,0.3,0,4,0,0,1,,0.01000213623046875,8.0,1.8798828125,0.0002354550815653056,7.063652446959168e-05,1.8799534490244696,42.73480987548828,0.00033906378666870296,0.00013291252253111452,0.009172816727549122,2.380240752140383e-06,2.1833512188334727e-08
Office31,0.3,0,5,0,0,1,,0.01000213623046875,8.0,1.8291015625,0.0002354550815653056,7.063652446959168e-05,1.8291721990244696,37.502803802490234,0.00033906378666870296,0.0002937705721706152,0.02310272152765702,2.7123074993623247e-06,6.266168486007303e-08
Office31,0.3,5,0,0,0,1,,0.01000213623046875,8.0,0.2308349609375,0.00023931059695314616,7.179317908594385e-05,0.23090675411658595,3.3310585021972656,0.0003418397973291576,1.7581791325937957e-05,0.01544038902778606,3.078659204906493e-05,4.7535695849486774e-07
Office31,0.3,5,1,0,0,1,,0.01000213623046875,8.0,0.66064453125,0.00023558828979730606,7.067648693919182e-05,0.6607152077369391,5.631525039672852,0.000339164660545066,2.5109531634370796e-05,0.01314625335777178,1.8067823093513687e-05,2.375241801351228e-07
Office31,0.3,5,2,0,0,1,,0.01000213623046875,8.0,0.420166015625,0.00023488493752665818,7.046548125799745e-05,0.420236481106258,6.95420503616333,0.00033863127464428544,3.0697578040417284e-05,0.013035555872058258,1.4608338676381391e-05,1.9042781509480674e-07
Office31,0.3,5,3,0,0,1,,0.01000213623046875,8.0,0.160888671875,0.0002352808805881068,7.058426417643205e-05,0.16095925613917644,4.340460777282715,0.00033892091596499085,-3.1587242119712755e-05,-0.021472247356986933,2.342522603167649e-05,-5.029922480874983e-07
