dataset,round,client,lambda_before,lambda_after,action,valid,invalid_reason,raw_alignment,raw_pull_ratio,effective_pull_ratio,utility,negative_streak,warmup_pull_ref,cooldown_until,decay_count,ce_loss,mse_loss,weighted_mse_loss,ce_grad_norm,mse_grad_norm,spf_gamma,spf_rank
Caltech101,0,0,0.3,0.3,warmup,1,,8.985710768374712e-08,7.248060400856796e-06,2.174418120257039e-06,2.6957132305124134e-08,0,,-1,0,2.17578125,0.0002354550815653056,7.063652446959168e-05,46.77993392944336,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,1,0.3,0.3,warmup,1,,2.2555984562784438e-08,5.7126389157831895e-06,1.7137916747349568e-06,6.7667953688353314e-09,0,,-1,0,1.587890625,0.0002354550815653056,7.063652446959168e-05,59.353267669677734,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,2,0.3,0.3,warmup,1,,9.335856056593625e-08,6.1725544547554655e-06,1.8517663364266396e-06,2.8007568169780875e-08,0,,-1,0,2.818359375,0.0002354550815653056,7.063652446959168e-05,54.930870056152344,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,3,0.3,0.3,warmup,1,,-4.571825331662256e-08,4.9037293723839875e-06,1.4711188117151962e-06,-1.3715475994986768e-08,0,,-1,0,2.48046875,0.0002354550815653056,7.063652446959168e-05,69.1440658569336,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,4,0.3,0.3,warmup,1,,-5.541183678973918e-08,5.28608721842382e-06,1.585826165527146e-06,-1.6623551036921756e-08,0,,-1,0,1.1376953125,0.0002354550815653056,7.063652446959168e-05,64.1426773071289,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,5,0.3,0.3,warmup,1,,-2.9724374315180512e-08,7.314326110379104e-06,2.194297833113731e-06,-8.917312294554154e-09,0,,-1,0,1.6318359375,0.0002354550815653056,7.063652446959168e-05,46.35612106323242,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,6,0.3,0.3,warmup,1,,-3.8218672232854566e-08,4.03206366907181e-06,1.209619100721543e-06,-1.1465601669856369e-08,0,,-1,0,2.62890625,0.0002354550815653056,7.063652446959168e-05,84.09187316894531,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,7,0.3,0.3,warmup,1,,2.9097251945906673e-08,6.644638162528552e-06,1.9933914487585656e-06,8.729175583772001e-09,0,,-1,0,1.77734375,0.0002354550815653056,7.063652446959168e-05,51.02817916870117,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,8,0.3,0.3,warmup,1,,-5.2671339662306584e-08,4.710567462598599e-06,1.4131702387795798e-06,-1.5801401898691974e-08,0,,-1,0,1.9091796875,0.0002354550815653056,7.063652446959168e-05,71.9793930053711,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,0,9,0.3,0.3,warmup,1,,-5.1866870076632224e-08,5.529037631944163e-06,1.6587112895832488e-06,-1.5560061022989667e-08,0,,-1,0,1.6396484375,0.0002354550815653056,7.063652446959168e-05,61.324195861816406,0.00033906378666870296,0.01000213623046875,8.0
Caltech101,5,0,0.3,0.3,warmup,1,,-8.121101720709542e-07,4.990579557708562e-05,1.4971738673125685e-05,-2.4363305162128625e-07,0,,-1,0,0.4111328125,0.00023391476133838296,7.017442840151489e-05,6.772230625152588,0.0003379735571797937,0.01000213623046875,8.0
Caltech101,5,1,0.3,0.3,warmup,1,,-5.551340559926279e-07,3.312020145303441e-05,9.936060435910323e-06,-1.6654021679778838e-07,0,,-1,0,0.2978515625,0.00023481011157855392,7.044303347356617e-05,10.224146842956543,0.0003386258031241596,0.01000213623046875,8.0
Caltech101,5,2,0.3,0.3,warmup,1,,7.289633473008689e-07,3.549162883586647e-05,1.0647488650759941e-05,2.1868900419026067e-07,0,,-1,0,0.4365234375,0.0002325329987797886,6.975989963393658e-05,9.493802070617676,0.0003369504993315786,0.01000213623046875,8.0
Caltech101,5,3,0.3,0.3,warmup,1,,7.272561146983809e-08,3.1417024617080144e-05,9.425107385124043e-06,2.1817683440951425e-08,0,,-1,0,0.60888671875,0.0002366588159929961,7.099764479789883e-05,10.821056365966797,0.0003399653942324221,0.01000213623046875,8.0
Caltech101,5,4,0.3,0.3,warmup,1,,-6.176636564041268e-07,5.9646573673950044e-05,1.7893972102185013e-05,-1.8529909692123804e-07,0,,-1,0,0.330322265625,0.00023642228916287422,7.092668674886226e-05,5.696193695068359,0.0003397584368940443,0.01000213623046875,8.0
