dataset,lambda,round,client,local_epoch,batch,valid,invalid_reason,spf_gamma,spf_rank,ce_loss,mse_loss,weighted_mse_loss,total_loss,ce_grad_norm,mse_grad_norm,dot_ce_mse,cos_ce_mse,effective_pull_ratio,utility
OxfordPets,0.3,0,0,0,0,1,,0.01000213623046875,8.0,2.818359375,0.0002354550815653056,7.063652446959168e-05,2.8184300115244696,135.07333374023438,0.00033906378666870296,-0.0001728087372612208,-0.0037732420877354587,7.530660063238743e-07,-2.8415003499661645e-09
OxfordPets,0.3,0,1,0,0,1,,0.01000213623046875,8.0,2.16015625,0.0002354550815653056,7.063652446959168e-05,2.1602268865244696,96.27035522460938,0.00033906378666870296,0.00014578313857782632,0.00446615008780867,1.0565987396980915e-06,4.7189285542257766e-09
OxfordPets,0.3,0,2,0,0,1,,0.01000213623046875,8.0,0.8662109375,0.0002354550815653056,7.063652446959168e-05,0.8662815740244696,42.7574577331543,0.00033906378666870296,8.030642493395135e-05,0.0055393270778218,2.378979981350367e-06,1.317794822919937e-08
OxfordPets,0.3,0,3,0,0,1,,0.01000213623046875,8.0,2.50390625,0.0002354550815653056,7.063652446959168e-05,2.5039768865244696,109.6243896484375,0.00033906378666870296,0.0008367535192519426,0.022511734146858472,9.278878206466692e-07,2.0888363937067872e-08
OxfordPets,0.3,0,4,0,0,1,,0.01000213623046875,8.0,2.470703125,0.0002354550815653056,7.063652446959168e-05,2.4707737615244696,70.54747772216797,0.00033906378666870296,4.3140025809407234e-05,0.0018035056266414934,1.4418536180868516e-06,2.6003911131217794e-09
OxfordPets,0.3,0,5,0,0,1,,0.01000213623046875,8.0,1.654296875,0.0002354550815653056,7.063652446959168e-05,1.6543675115244696,92.59382629394531,0.00033906378666870296,0.0004092952876817435,0.013036869120952805,1.098552031727208e-06,1.4321679060640728e-08
OxfordPets,0.3,0,6,0,0,1,,0.01000213623046875,8.0,3.94921875,0.0002354550815653056,7.063652446959168e-05,3.9492893865244696,128.59646606445312,0.00033906378666870296,0.000492457184009254,0.011294266611654634,7.909948003518853e-07,8.93370616381168e-09
OxfordPets,0.3,0,7,0,0,1,,0.01000213623046875,8.0,1.4755859375,0.0002354550815653056,7.063652446959168e-05,1.4756565740244696,212.02481079101562,0.00033906378666870296,0.0008844566764310002,0.012302927715535001,4.797510990393992e-07,5.902343093012332e-09
OxfordPets,0.3,0,8,0,0,1,,0.01000213623046875,8.0,0.74560546875,0.0002354550815653056,7.063652446959168e-05,0.7456761052744696,28.53816795349121,0.00033906378666870296,0.00020398876222316176,0.02108136585322384,3.5643190609284904e-06,7.514071414882074e-08
OxfordPets,0.3,0,9,0,0,1,,0.01000213623046875,8.0,0.80322265625,0.0002354550815653056,7.063652446959168e-05,0.8032932927744696,72.53118896484375,0.00033906378666870296,0.0009331168257631361,0.03794283838639839,1.4024192551140074e-06,5.3211767148928445e-08
OxfordPets,0.3,5,0,0,0,1,,0.01000213623046875,8.0,0.58642578125,0.00023509495076723397,7.052848523017018e-05,0.5864963097352301,36.20904541015625,0.0003388470213394612,0.00015686328697483987,0.012784995022567677,2.8074229864486473e-06,3.5892888910914425e-08
OxfordPets,0.3,5,1,0,0,1,,0.01000213623046875,8.0,0.25927734375,0.00023479093215428293,7.043727964628488e-05,0.2593477810296463,5.647296905517578,0.0003385876480024308,-1.652016544539947e-05,-0.008639779529424888,1.7986710474079762e-05,-1.5540121303694152e-07
OxfordPets,0.3,5,2,0,0,1,,0.01000213623046875,8.0,0.244140625,0.00023498090740758926,7.049427222227678e-05,0.24421111927222228,9.942831993103027,0.00033872839412651956,-5.375708133215085e-05,-0.015961510092873263,1.0220279122531148e-05,-1.6313108841471435e-07
OxfordPets,0.3,5,3,0,0,1,,0.01000213623046875,8.0,0.5283203125,0.00023380943457596004,7.0142830372788e-05,0.5283904553303728,10.893434524536133,0.0003378851106390357,-2.2333711967803538e-05,-0.006067740918181988,9.30519506620138e-06,-5.646151287019974e-08
OxfordPets,0.3,5,4,0,0,1,,0.01000213623046875,8.0,0.66259765625,0.00023527562734670937,7.05826882040128e-05,0.662668238938204,32.69841766357422,0.00033889603218995035,-7.011996058281511e-05,-0.00632773732045744,3.1092883668875584e-06,-1.9674760040994636e-08
OxfordPets,0.3,5,5,0,0,1,,0.01000213623046875,8.0,0.361572265625,0.00023461898672394454,7.038569601718337e-05,0.3616426513210172,15.0745267868042,0.00033844352583400905,0.00010853687854250893,0.021273915439383364,6.735405972350326e-06,1.4328845713379287e-07
OxfordPets,0.3,5,6,0,0,1,,0.01000213623046875,8.0,0.6533203125,0.00023365880770143121,7.009764231042936e-05,0.6533904101423105,24.232990264892578,0.00033770297886803746,0.00016420130850747228,0.02006479441151821,4.180701289975786e-06,8.388491188958686e-08
OxfordPets,0.3,5,7,0,0,1,,0.01000213623046875,8.0,0.275390625,0.00023521544062532485,7.056463218759745e-05,0.2754611896321876,8.934309959411621,0.00033890994382090867,1.5079496733960696e-05,0.004980139642292183,1.138005997196867e-05,5.6674287816786463e-08
OxfordPets,0.3,5,8,0,0,1,,0.01000213623046875,8.0,0.383544921875,0.0002347255649510771,7.041766948532312e-05,0.38361533954448535,12.005146026611328,0.00033857993548735976,2.7754407710745e-05,0.00682815386198008,8.460870065307367e-06,5.777212262635769e-08
OxfordPets,0.3,5,9,0,0,1,,0.01000213623046875,8.0,0.4287109375,0.0002338103367947042,7.014310103841126e-05,0.4287810806010384,9.755047798156738,0.0003378930559847504,2.1328552975319326e-05,0.0064707217269258125,1.039132958575238e-05,6.723940214258041e-08
OxfordPets,0.3,10,0,0,0,1,,0.01000213623046875,8.0,0.24853515625,0.00023484438133891672,7.045331440167501e-05,0.24860560956440167,5.177491664886475,0.00033862877171486616,-2.99258954328252e-06,-0.0017068835389272734,1.9621206192065928e-05,-3.3491113882242775e-08
OxfordPets,0.3,10,1,0,0,1,,0.01000213623046875,8.0,0.1678466796875,0.00023487897124141455,7.046369137242436e-05,0.16791714337887242,5.502460956573486,0.00033865461591631174,-1.0714160453062505e-05,-0.005749686646618059,1.8463808389862987e-05,-1.0616111260189619e-07
OxfordPets,0.3,10,2,0,0,1,,0.01000213623046875,8.0,0.25634765625,0.0002352752781007439,7.058258343022317e-05,0.25641823883343023,4.6296515464782715,0.0003388975455891341,-1.0353765901527368e-05,-0.006599052944446116,2.196045699250455e-05,-1.4491821847015874e-07
OxfordPets,0.3,10,3,0,0,1,,0.01000213623046875,8.0,0.3466796875,0.00023402135411743075,7.020640623522922e-05,0.34674989390623523,7.825977802276611,0.0003380896814633161,9.764748028828762e-06,0.003690545066569567,1.2960285219500153e-05,4.783051669624344e-08
OxfordPets,0.3,10,4,0,0,1,,0.01000213623046875,8.0,0.302734375,0.00023553668870590627,7.066100661177187e-05,0.3028050360066118,8.561065673828125,0.0003391308418940753,-3.1698345992481336e-05,-0.010917959643774528,1.1883947214566509e-05,-1.297484561420869e-07
OxfordPets,0.3,10,5,0,0,1,,0.01000213623046875,8.0,0.1622314453125,0.00023442768724635243,7.032830617390572e-05,0.1623017736186739,10.076617240905762,0.00033830973552539945,-5.150200740899891e-05,-0.015107579871465096,1.0072122244119972e-05,-1.5216539132285254e-07
OxfordPets,0.3,10,6,0,0,1,,0.01000213623046875,8.0,0.1876220703125,0.00023346737725660205,7.004021317698061e-05,0.18769211052567697,7.975711345672607,0.00033765941043384373,1.0160030797123909e-05,0.0037726519316482153,1.2700788524035753e-05,4.791565437645641e-08
OxfordPets,0.3,10,7,0,0,1,,0.01000213623046875,8.0,0.0577392578125,0.00023533974308520555,7.060192292556167e-05,0.05780985973542556,4.2187371253967285,0.00033898698166012764,4.940876351611223e-06,0.0034549240160726535,2.410581448315548e-05,8.328375744309739e-08
OxfordPets,0.3,10,8,0,0,1,,0.01000213623046875,8.0,0.07080078125,0.00023453378526028246,7.036013557808474e-05,0.07087114138557808,4.490190029144287,0.0003383598232176155,8.606062692706473e-06,0.005664492350519297,2.2606603797703144e-05,1.280549343676176e-07
OxfordPets,0.3,10,9,0,0,1,,0.01000213623046875,8.0,0.45068359375,0.0002337641199119389,7.012923597358166e-05,0.4507537229859736,12.349215507507324,0.0003378770488779992,-2.5791126972762868e-05,-0.006181192337594677,8.20806103851463e-06,-5.0735604009939294e-08
OxfordPets,0.3,15,0,0,0,1,,0.01000213623046875,8.0,0.01517486572265625,0.00023484218399971724,7.045265519991517e-05,0.015245318377856166,0.8817911148071289,0.0003386986500117928,-5.149317075847648e-06,-0.017241317495551044,0.00011523091273793037,-1.9867327584686155e-06
OxfordPets,0.3,15,1,0,0,1,,0.01000213623046875,8.0,0.0882568359375,0.00023478810908272862,7.043643272481858e-05,0.08832727237022482,4.423755168914795,0.0003385806630831212,-8.302069545607083e-06,-0.005542850084323368,2.2961080585712178e-05,-1.2726982754566395e-07
OxfordPets,0.3,15,2,0,0,1,,0.01000213623046875,8.0,0.23095703125,0.00023540252004750073,7.062075601425021e-05,0.23102765200601424,3.822223663330078,0.0003390129131730646,6.052573553461116e-06,0.004670977095031399,2.6608561641127035e-05,1.2428798205337676e-07
OxfordPets,0.3,15,3,0,0,1,,0.01000213623046875,8.0,0.25830078125,0.00023413501912727952,7.024050573818385e-05,0.2583710217557382,8.095653533935547,0.00033810583408921957,-4.4047392293578014e-05,-0.016092207497840117,1.252916145701757e-05,-2.0162186601394965e-07
OxfordPets,0.3,15,4,0,0,1,,0.01000213623046875,8.0,0.63427734375,0.00023586189490742981,7.075856847222894e-05,0.6343481023184723,10.492779731750488,0.0003393652441445738,-6.567162927240133e-05,-0.01844250341266642,9.702821925756537e-06,-1.789443265285277e-07
OxfordPets,0.3,15,5,0,0,1,,0.01000213623046875,8.0,0.46240234375,0.00023436160699930042,7.030848209979012e-05,0.46247265223209977,37.8565559387207,0.0003383062721695751,0.00013014028081670403,0.010161564754833964,2.680959192779109e-06,2.7242740444620175e-08
OxfordPets,0.3,15,6,0,0,1,,0.01000213623046875,8.0,0.0511474609375,0.0002334376040380448,7.003128121141344e-05,0.05121749221871141,5.842456817626953,0.00033758857171051204,-1.9286349925096147e-05,-0.009778377392435944,1.733458623221319e-05,-1.695041262062692e-07
OxfordPets,0.3,15,7,0,0,1,,0.01000213623046875,8.0,0.073974609375,0.00023530394537374377,7.059118361212313e-05,0.07404520055861212,4.048802852630615,0.00033894856460392475,5.416777639766224e-07,0.0003947122257438944,2.5114724792066653e-05,9.913088928847354e-09
OxfordPets,0.3,15,8,0,0,1,,0.01000213623046875,8.0,0.10833740234375,0.0002345227840123698,7.035683520371094e-05,0.1084077591789537,9.163894653320312,0.0003383876755833626,4.675968375522643e-05,0.01507915272836039,1.1077855706057877e-05,1.670446781482705e-07
OxfordPets,0.3,15,9,0,0,1,,0.01000213623046875,8.0,0.07073974609375,0.00023377631441690028,7.013289432507008e-05,0.07080987898807507,3.9726743698120117,0.00033787183929234743,-4.042928594572004e-06,-0.003012042574100991,2.5514689187192348e-05,-7.685133015404743e-08
OxfordPets,0.3,20,0,0,0,1,,0.01000213623046875,8.0,0.30126953125,0.0002349331189179793,7.047993567539379e-05,0.3013400111856754,7.766439914703369,0.00033875039662234485,3.08002345263958e-05,0.011707178071482312,1.3085161296914743e-05,1.5319031345529417e-07
OxfordPets,0.3,20,1,0,0,1,,0.01000213623046875,8.0,0.2125244140625,0.0002349116693949327,7.04735008184798e-05,0.21259488756331849,18.02008628845215,0.0003387016768101603,-0.00010693557851482183,-0.0175205610924812,5.638735654010588e-06,-9.879381252663621e-08
