dataset,round,client,fedavg_weight,residual_norm,clipped_residual_norm,support_s,alpha,residual_cos_to_rcon,is_valid_residual
Caltech101,0,0,0.10000000149011612,0.025903549045324326,0.025903549045324326,0.36771494150161743,0.09298542886972427,0.6278321146965027,1
Caltech101,0,1,0.10000000149011612,0.030378784984350204,0.030378784984350204,0.47008806467056274,0.11887290328741074,0.8215247392654419,1
Caltech101,0,2,0.10000000149011612,0.031076695770025253,0.030764684081077576,0.17974969744682312,0.04545396938920021,0.3155120015144348,1
Caltech101,0,3,0.10000000149011612,0.03678545355796814,0.030764684081077576,0.5151456594467163,0.13026677072048187,0.893729567527771,1
Caltech101,0,4,0.10000000149011612,0.0326041579246521,0.030764684081077576,0.3692876100540161,0.09338311851024628,0.66766756772995,1
Caltech101,0,5,0.10000000149011612,0.027379710227251053,0.027379710227251053,0.4831806421279907,0.1221836656332016,0.841870903968811,1
Caltech101,0,6,0.10000000149011612,0.050567492842674255,0.030764682218432426,0.3796110153198242,0.09599363803863525,0.6818050146102905,1
Caltech101,0,7,0.10000000149011612,0.029019588604569435,0.029019588604569435,0.3111991882324219,0.07869408279657364,0.5606161952018738,1
Caltech101,0,8,0.10000000149011612,0.03561340644955635,0.030764685943722725,0.37002167105674744,0.09356874227523804,0.6865110993385315,1
Caltech101,0,9,0.10000000149011612,0.030764684081077576,0.030764684081077576,0.5085450410842896,0.12859764695167542,0.893176257610321,1
Caltech101,1,0,0.10000000149011612,0.011800754815340042,0.0067966231144964695,0.052293919026851654,0.08937837928533554,0.32892587780952454,1
Caltech101,1,1,0.10000000149011612,0.006796623580157757,0.006796623580157757,0.03454018756747246,0.05903451144695282,0.10993646085262299,1
Caltech101,1,2,0.10000000149011612,0.007314533926546574,0.006796623580157757,0.008537636138498783,0.014592137187719345,-0.08770479261875153,1
Caltech101,1,3,0.10000000149011612,0.00923024769872427,0.006796623580157757,0.07957345247268677,0.136003315448761,0.5746380686759949,1
