idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49
0,91.97994987468671,95.23809523809524,95.23809523809524,95.48872180451127,95.98997493734336,96.49122807017544,96.49122807017544,96.74185463659148,96.99248120300751,96.99248120300751,97.24310776942356,97.24310776942356,97.4937343358396,97.99498746867168,97.99498746867168,97.99498746867168,97.99498746867168,97.99498746867168,97.99498746867168,98.24561403508773,98.24561403508773,98.24561403508773,98.24561403508773,98.24561403508773,98.49624060150376,98.7468671679198,98.7468671679198,98.99749373433583,99.49874686716792,99.49874686716792,99.49874686716792,99.24812030075188,99.49874686716792,99.49874686716792,99.24812030075188,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.74937343358395,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792
1,91.47869674185463,94.9874686716792,95.73934837092732,95.73934837092732,95.73934837092732,95.73934837092732,96.2406015037594,96.74185463659148,96.74185463659148,96.74185463659148,96.74185463659148,96.74185463659148,97.4937343358396,97.99498746867168,98.24561403508773,97.99498746867168,98.49624060150376,98.49624060150376,98.49624060150376,98.99749373433583,98.99749373433583,99.24812030075188,98.99749373433583,99.24812030075188,99.49874686716792,99.49874686716792,99.74937343358395,99.74937343358395,100.0,100.0,99.74937343358395,99.74937343358395,100.0,100.0,100.0,99.74937343358395,99.49874686716792,99.74937343358395,99.74937343358395,99.49874686716792,99.49874686716792,99.74937343358395,100.0,99.49874686716792,100.0,99.74937343358395,99.74937343358395,98.99749373433583,100.0,100.0
2,97.17223650385604,98.7146529562982,99.22879177377892,98.97172236503856,99.22879177377892,99.48586118251929,98.45758354755785,99.48586118251929,95.11568123393316,95.88688946015424,99.22879177377892,99.48586118251929,99.22879177377892,99.48586118251929,99.22879177377892,99.22879177377892,99.22879177377892,99.22879177377892,99.48586118251929,99.22879177377892,99.48586118251929,99.74293059125964,99.22879177377892,99.22879177377892,98.97172236503856,99.48586118251929,99.48586118251929,99.22879177377892,99.48586118251929,98.97172236503856,99.74293059125964,98.45758354755785,99.74293059125964,99.48586118251929,99.22879177377892,97.17223650385604,99.74293059125964,99.48586118251929,99.48586118251929,99.48586118251929,99.48586118251929,98.97172236503856,99.74293059125964,99.22879177377892,99.74293059125964,99.48586118251929,99.48586118251929,99.48586118251929,99.22879177377892,99.22879177377892
3,93.19899244332494,92.19143576826197,95.21410579345088,93.45088161209068,96.4735516372796,95.46599496221663,94.7103274559194,94.96221662468514,95.21410579345088,95.46599496221663,96.4735516372796,95.96977329974811,96.22166246851386,96.22166246851386,94.7103274559194,96.4735516372796,95.71788413098237,95.96977329974811,96.4735516372796,96.72544080604534,96.72544080604534,96.22166246851386,95.71788413098237,93.45088161209068,94.7103274559194,93.45088161209068,96.4735516372796,94.20654911838791,95.21410579345088,95.46599496221663,94.7103274559194,96.72544080604534,94.7103274559194,95.21410579345088,92.69521410579345,94.45843828715365,92.9471032745592,94.45843828715365,95.46599496221663,92.9471032745592,93.19899244332494,95.21410579345088,91.68765743073048,94.96221662468514,94.20654911838791,95.21410579345088,94.7103274559194,92.69521410579345,95.71788413098237,93.95465994962217
4,72.79792746113989,74.35233160621762,79.27461139896373,93.52331606217616,95.85492227979275,96.37305699481865,97.15025906735751,97.40932642487047,97.40932642487047,98.18652849740933,98.18652849740933,98.96373056994818,99.48186528497409,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.48186528497409,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,100.0,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,99.74093264248705,100.0,100.0,100.0,99.74093264248705,99.74093264248705,100.0,100.0,100.0,100.0
5,80.95238095238095,96.49122807017544,97.99498746867168,98.49624060150376,98.7468671679198,98.99749373433583,99.24812030075188,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.49874686716792,99.74937343358395,99.74937343358395,99.74937343358395,99.74937343358395,99.74937343358395,99.74937343358395,99.74937343358395,99.74937343358395,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.74937343358395,100.0,100.0,100.0,100.0,100.0,99.74937343358395,100.0,100.0,100.0,99.74937343358395,100.0,100.0,100.0,100.0
6,71.25,83.0,91.5,97.0,99.5,99.75,99.75,99.75,99.75,100.0,99.5,99.5,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.5,99.75,99.5,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.5,99.25,99.0,99.5,99.75,99.75,99.75,99.75
7,97.75,97.5,98.25,99.0,99.0,99.75,99.5,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,94.5,97.0,97.75,98.0,98.25,97.25,98.25,98.5,99.0,99.0,99.0,99.0,99.5,99.25,98.75,98.5,99.0,99.5,99.75,99.25,99.75,99.5,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.5,99.5,99.75,99.5,99.5,99.5,99.75,99.75,99.75,99.75,99.75,99.25,99.5,99.5,99.5,99.5,99.75,99.75
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
