Dataset,Client,Mean Support,Median Support,Mean Alpha,Active Alpha Ratio,Mean Residual Norm,Mean Residual Cosine to Rcon
Office31,0,0.036967,0.025153,0.283623,0.980000,0.019905,0.665614
Office31,1,0.033721,0.021490,0.248416,1.000000,0.023169,0.583483
Office31,2,0.058353,0.049661,0.112723,0.960000,0.006121,0.133886
Office31,3,0.057292,0.048996,0.092920,0.980000,0.004512,0.099454
Office31,4,0.052218,0.043403,0.137549,1.000000,0.010276,0.225423
Office31,5,0.050565,0.038220,0.124770,0.940000,0.008008,0.165033
