Dataset,Client,Selected Rounds,Core Rounds,Core Ratio,Mean Support,Mean Alpha,Mean Residual Norm,Mean Residual Cosine to Rcon
Office31,0,50,0,0.000000,0.000000,0.000000,0.019905,0.005662
Office31,1,50,1,0.020000,0.015966,0.002938,0.023169,0.013401
Office31,2,50,1,0.020000,0.026194,0.004819,0.006121,0.017164
Office31,3,50,1,0.020000,0.022284,0.004100,0.004512,0.015260
Office31,4,50,1,0.020000,0.023909,0.004399,0.010276,0.016798
Office31,5,50,1,0.020000,0.020349,0.003744,0.008008,0.015225
