idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49
0,91.03333333333333,93.6,94.76666666666667,95.2,96.0,96.13333333333334,96.13333333333334,96.66666666666667,96.3,96.76666666666667,97.3,96.93333333333334,96.8,96.2,96.36666666666666,96.6,97.1,97.16666666666667,97.23333333333333,95.7,96.76666666666667,96.56666666666666,97.1,97.03333333333333,96.7,97.4,97.33333333333333,97.43333333333334,97.13333333333334,97.2,95.9,97.13333333333334,97.5,97.46666666666667,97.63333333333334,97.53333333333333,97.7,97.3,97.43333333333334,97.43333333333334,97.06666666666666,97.36666666666666,97.56666666666666,97.53333333333333,97.33333333333333,97.43333333333334,97.73333333333333,97.5,96.63333333333334,97.46666666666667
1,81.53333333333333,86.0,87.7,87.46666666666667,90.43333333333334,89.46666666666667,86.73333333333333,92.4,93.03333333333333,93.53333333333333,93.76666666666667,94.0,93.86666666666666,94.43333333333334,94.0,94.3,95.56666666666666,95.1,95.4,95.8,95.46666666666667,95.43333333333334,94.9,95.06666666666666,95.8,95.8,95.73333333333333,95.33333333333333,94.6,95.7,95.8,95.86666666666666,95.83333333333333,95.9,95.83333333333333,95.53333333333333,94.66666666666667,95.1,95.8,95.4,96.13333333333334,95.06666666666666,94.73333333333333,94.36666666666666,95.6,95.53333333333333,94.93333333333334,96.06666666666666,94.23333333333333,95.4
2,89.8,92.1,93.33333333333333,93.46666666666667,93.83333333333333,94.0,94.5,94.8,95.03333333333333,94.8,95.23333333333333,95.46666666666667,95.86666666666666,95.53333333333333,96.3,96.2,96.36666666666666,96.46666666666667,96.76666666666667,96.33333333333333,95.9,96.83333333333333,97.23333333333333,96.83333333333333,97.4,96.9,97.26666666666667,95.33333333333333,95.9,96.63333333333334,97.6,97.0,97.73333333333333,97.03333333333333,97.4,97.33333333333333,97.4,97.56666666666666,97.7,97.03333333333333,96.76666666666667,97.7,96.93333333333334,97.23333333333333,97.63333333333334,97.43333333333334,97.56666666666666,97.76666666666667,97.63333333333334,97.73333333333333
3,83.33333333333333,87.03333333333333,87.8,85.96666666666667,90.2,91.7,92.93333333333334,93.76666666666667,94.8,94.7,93.66666666666667,94.53333333333333,95.53333333333333,96.0,95.9,95.9,96.96666666666667,93.8,94.73333333333333,96.93333333333334,95.9,96.76666666666667,96.73333333333333,96.1,96.76666666666667,96.6,97.1,96.66666666666667,96.9,97.1,97.16666666666667,95.5,96.03333333333333,95.76666666666667,96.63333333333334,95.76666666666667,96.86666666666666,97.43333333333334,97.1,97.26666666666667,97.13333333333334,96.7,96.96666666666667,96.8,95.33333333333333,96.86666666666666,96.86666666666666,96.9,97.06666666666666,97.13333333333334
4,91.73333333333333,93.93333333333334,94.53333333333333,95.0,95.13333333333334,95.46666666666667,95.53333333333333,95.33333333333333,96.2,95.96666666666667,95.96666666666667,96.2,95.23333333333333,96.43333333333334,97.3,96.63333333333334,96.63333333333334,96.63333333333334,96.53333333333333,97.1,97.16666666666667,96.8,97.5,96.86666666666666,97.26666666666667,96.2,96.23333333333333,97.56666666666666,97.43333333333334,97.4,97.26666666666667,97.5,97.36666666666666,97.43333333333334,96.9,97.33333333333333,97.26666666666667,96.83333333333333,97.76666666666667,96.63333333333334,96.23333333333333,97.43333333333334,97.6,96.63333333333334,97.36666666666666,97.86666666666666,96.7,97.6,97.56666666666666,96.96666666666667
5,85.83333333333333,88.26666666666667,90.13333333333334,91.33333333333333,91.4,92.33333333333333,92.86666666666666,93.1,94.0,93.86666666666666,94.1,94.16666666666667,95.1,94.33333333333333,94.46666666666667,94.96666666666667,95.26666666666667,95.0,95.43333333333334,95.13333333333334,95.46666666666667,95.3,95.16666666666667,95.3,95.66666666666667,95.56666666666666,95.8,95.56666666666666,96.03333333333333,95.8,96.23333333333333,96.23333333333333,96.2,96.36666666666666,96.3,96.2,96.06666666666666,96.4,96.4,96.4,96.43333333333334,95.06666666666666,96.86666666666666,96.03333333333333,96.46666666666667,96.93333333333334,96.23333333333333,97.33333333333333,97.4,96.56666666666666
6,82.66666666666667,85.43333333333334,87.3,87.53333333333333,88.36666666666666,89.83333333333333,91.53333333333333,88.2,92.43333333333334,91.0,91.86666666666666,91.03333333333333,92.5,91.23333333333333,92.96666666666667,92.0,92.66666666666667,91.43333333333334,93.26666666666667,93.96666666666667,91.8,92.73333333333333,93.26666666666667,93.8,93.83333333333333,93.4,93.63333333333334,93.9,93.2,93.53333333333333,93.26666666666667,93.66666666666667,92.53333333333333,93.56666666666666,93.46666666666667,94.03333333333333,93.63333333333334,94.0,94.63333333333334,93.8,94.66666666666667,93.96666666666667,94.9,94.13333333333334,93.6,93.93333333333334,92.8,93.66666666666667,93.93333333333334,93.53333333333333
7,85.23333333333333,88.03333333333333,89.9,89.73333333333333,90.86666666666666,90.96666666666667,92.0,85.5,91.33333333333333,92.16666666666667,92.86666666666666,93.0,92.56666666666666,93.43333333333334,93.7,93.8,94.06666666666666,94.1,95.06666666666666,93.73333333333333,95.26666666666667,94.26666666666667,95.03333333333333,95.03333333333333,95.6,95.8,95.56666666666666,94.96666666666667,94.96666666666667,95.53333333333333,95.2,95.2,94.56666666666666,95.43333333333334,95.46666666666667,94.2,94.76666666666667,95.06666666666666,95.26666666666667,95.13333333333334,94.7,95.03333333333333,95.43333333333334,95.03333333333333,94.8,95.7,94.96666666666667,95.5,95.33333333333333,96.16666666666667
8,89.7,91.26666666666667,91.43333333333334,92.53333333333333,92.5,93.73333333333333,93.36666666666666,94.23333333333333,94.53333333333333,94.9,94.9,95.13333333333334,95.06666666666666,95.1,94.6,95.7,95.4,96.03333333333333,96.4,96.4,96.73333333333333,96.76666666666667,96.36666666666666,96.43333333333334,96.63333333333334,96.3,95.5,96.63333333333334,96.5,96.76666666666667,96.0,96.43333333333334,95.96666666666667,95.06666666666666,96.53333333333333,95.8,96.26666666666667,96.53333333333333,96.5,96.63333333333334,96.5,96.43333333333334,96.66666666666667,96.86666666666666,94.7,96.06666666666666,96.46666666666667,96.3,97.0,96.76666666666667
9,87.3030303030303,89.15151515151516,91.12121212121212,92.3030303030303,93.12121212121212,92.78787878787878,92.72727272727273,93.60606060606061,93.42424242424242,93.66666666666667,92.93939393939394,93.9090909090909,94.63636363636364,95.12121212121212,94.0,94.48484848484848,95.63636363636364,94.27272727272727,95.60606060606061,94.54545454545455,95.18181818181819,94.3030303030303,95.57575757575758,95.45454545454545,95.27272727272727,96.24242424242425,95.66666666666667,96.21212121212122,95.54545454545455,96.3030303030303,95.78787878787878,96.03030303030303,95.6969696969697,96.12121212121212,96.24242424242425,95.96969696969697,96.0909090909091,96.72727272727273,96.33333333333333,96.87878787878788,96.6969696969697,95.54545454545455,96.15151515151516,96.75757575757575,96.78787878787878,96.57575757575758,95.60606060606061,95.75757575757575,94.9090909090909,97.06060606060606
